TI3;"Mamm""""";"Squid""""";"Caran""""";"Ofish""""";"Clup""""";"Zoopl""""";"Bird""""";"Sciae""""";"ShaRay""""";"Omollu""""";"Mycto""""";"OmacroCrus""""";"Shri""""";"Phyto""""";"Scom""""";"ScoTrig""""";"Lutja""""";"RedCrab""""";"Crab""""";"Stoma""""";"Serra""""";"Haem""""";"Parali""""";"Polych""""";"MeioBenth""""";;SUM
"Mamm""""";0,04;0,07;0,05;0,04;0,06;0,04;0,04;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0;;0,52
"Squid""""";0,1;0,05;0,03;0,05;0,07;0,05;0,1;0,02;0,04;0,01;0,01;0,01;0,04;0,02;0,02;0,01;0,02;0,02;0,01;0,01;0,01;0,02;0,02;0,01;0,01;;0,77
"Caran""""";0,11;0,05;0,05;0,06;0,08;0,06;0,11;0,03;0,05;0,06;0,03;0,03;0,03;0,06;0,03;0,05;0,06;0,03;0,03;0,03;0,05;0,03;0,02;0,02;0,02;;1,16
"Ofish""""";0,13;0,11;0,08;0,06;0,09;0,07;0,13;0,08;0,06;0,04;0,03;0,04;0,08;0,07;0,04;0,07;0,07;0,04;0,04;0,03;0,07;0,09;0,14;0,1;0,04;;1,79
"Clup""""";0,12;0,1;0,07;0,06;0,06;0,06;0,12;0,07;0,05;0,03;0,04;0,02;0,02;0,05;0,08;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,01;0,01;;1,1
"Zoopl""""";0,13;0,11;0,09;0,07;0,1;0,06;0,13;0,09;0,07;0,08;0,1;0,04;0,04;0,08;0,1;0,04;0,07;0,1;0,03;0,03;0,06;0,09;0,03;0,04;0,03;;1,78
"Bird""""";0,04;0,07;0,05;0,04;0,06;0,04;0,04;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0;;0,52
"Sciae""""";0,03;0,03;0,03;0,04;0,06;0,05;0,03;0,04;0,05;0,07;0,08;0,06;0,05;0,06;0,04;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,02;;0,91
"ShaRay""""";0,05;0,09;0,07;0,06;0,08;0,07;0,05;0,09;0,06;0,08;0,1;0,08;0,07;0,05;0,11;0,08;0,07;0,1;0,09;0,16;0,04;0,04;0,03;0,04;0,05;;1,81
"Omollu""""";0,02;0,02;0,05;0,02;0,03;0,05;0,02;0,07;0,05;0,04;0,08;0,06;0,02;0,06;0,03;0,02;0,02;0,03;0,03;0,03;0,05;0,03;0,02;0,03;0,05;;0,91
"Mycto""""";0,01;0,01;0,02;0,01;0,02;0,04;0,01;0,07;0,04;0,07;0,05;0,06;0,01;0,05;0,08;0,02;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,02;;0,72
"OmacroCrus""""";0,01;0,01;0,03;0,02;0,02;0,03;0,01;0,07;0,05;0,08;0,09;0,05;0,03;0,06;0,09;0,07;0,03;0,04;0,08;0,04;0,06;0,03;0,03;0,09;0,07;;1,2
"Shri""""";0,03;0,07;0,03;0,06;0,03;0,03;0,03;0,06;0,05;0,03;0,03;0,03;0,05;0,06;0,02;0,07;0,07;0,03;0,09;0,04;0,07;0,09;0,12;0,04;0,07;;1,3
"Phyto""""";0,04;0,03;0,07;0,06;0,07;0,06;0,04;0,08;0,04;0,08;0,09;0,07;0,06;0,05;0,04;0,03;0,07;0,1;0,03;0,02;0,06;0,09;0,04;0,04;0,04;;1,37
"Scom""""";0,02;0,02;0,02;0,01;0,05;0,04;0,02;0,03;0,04;0,02;0,07;0,05;0,01;0,02;0,04;0,05;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;;0,62
"ScoTrig""""";0,02;0,02;0,05;0,04;0,02;0,02;0,02;0,03;0,06;0,03;0,03;0,07;0,06;0,03;0,08;0,06;0,07;0,03;0,09;0,16;0,06;0,03;0,03;0,03;0,07;;1,22
"Lutja""""";0,03;0,03;0,06;0,05;0,02;0,05;0,03;0,03;0,05;0,03;0,02;0,03;0,07;0,06;0,02;0,07;0,05;0,03;0,09;0,04;0,06;0,09;0,03;0,03;0,07;;1,12
"RedCrab""""";0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,03;0,02;0,02;0,02;0,01;0,04;0,01;0,01;0,01;0,03;0,01;0,02;0,02;0,02;0,02;0,07;0,05;;0,53
"Crab""""";0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,02;0,04;0,02;0,02;0,05;0,05;0,02;0,02;0,06;0,05;0,02;0,04;0,04;0,05;0,03;0,02;0,02;0,06;;0,71
"Stoma""""";0;0,01;0,01;0,01;0;0,01;0;0,01;0,03;0,01;0,01;0,01;0,01;0;0,01;0,04;0,01;0,01;0,02;0,03;0,01;0,01;0;0,01;0,04;;0,31
"Serra""""";0,03;0,03;0,06;0,06;0,03;0,05;0,03;0,04;0,04;0,07;0,03;0,07;0,08;0,06;0,03;0,07;0,08;0,05;0,09;0,04;0,06;0,09;0,14;0,11;0,08;;1,52
"Haem""""";0,02;0,02;0,02;0,04;0,01;0,04;0,02;0,02;0,02;0,02;0,01;0,02;0,05;0,05;0,01;0,02;0,06;0,02;0,03;0,02;0,05;0,04;0,03;0,02;0,05;;0,69
"Parali""""";0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,04;0,01;0;0,01;0,01;0,02;0,01;0,01;0,04;0,02;0,04;0,08;0,02;;0,43
"Polych""""";0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,05;0,02;0,02;0,01;0,02;0,02;0,09;0,02;0,02;0,05;0,02;0,11;0,05;0,05;;0,7
"MeioBenth""""";0,01;0,01;0,02;0,03;0,01;0,02;0,01;0,02;0,04;0,06;0,02;0,07;0,06;0,03;0,02;0,07;0,07;0,1;0,09;0,15;0,06;0,08;0,04;0,1;0,06;;1,28
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Mamm""""";"Squid""""";"Caran""""";"Ofish""""";"Clup""""";"Zoopl""""";"Bird""""";"Sciae""""";"ShaRay""""";"Omollu""""";"Mycto""""";"OmacroCrus""""";"Shri""""";"Phyto""""";"Scom""""";"ScoTrig""""";"Lutja""""";"RedCrab""""";"Crab""""";"Stoma""""";"Serra""""";"Haem""""";"Parali""""";"Polych""""";"MeioBenth""""";;SUM
"Mamm""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Squid""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Caran""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Ofish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Clup""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sciae""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ShaRay""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Omollu""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Mycto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"OmacroCrus""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Shri""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Scom""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ScoTrig""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Lutja""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"RedCrab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Crab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Stoma""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Serra""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Haem""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Parali""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Polych""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MeioBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Mamm""""";"Squid""""";"Caran""""";"Ofish""""";"Clup""""";"Zoopl""""";"Bird""""";"Sciae""""";"ShaRay""""";"Omollu""""";"Mycto""""";"OmacroCrus""""";"Shri""""";"Phyto""""";"Scom""""";"ScoTrig""""";"Lutja""""";"RedCrab""""";"Crab""""";"Stoma""""";"Serra""""";"Haem""""";"Parali""""";"Polych""""";"MeioBenth""""";;SUM
"Mamm""""";1605415,67;82706342,04;7792791,8;57766043,86;752672150,9;25349442258;3485140,77;2675438;1017609,44;73804578,36;111289374,7;14117989,23;39757931,7;3904948686;7725433,22;11429,15;4398533,48;741674,38;6376,91;977,97;3390476,3;21706287,31;134462,19;368018,93;122442,32;;30441687862
"Squid""""";115788878,9;5913917649;551033315,9;4792813641;59768950057;2,21909E+12;254524269,2;203427968,1;75773651,96;6278638200;9388852691;1236242457;3479378187;2,68096E+11;559653784,3;815142,56;377054013,8;57138827,37;692621,49;95249,96;288658064;1820987729;7042442,59;26850441,29;2139566,74;;2,58238E+12
"Caran""""";17144141,95;865909496,4;73294377,65;841609197,2;9310543647;4,172E+11;40756262,22;35079623,81;13716952,4;1122262771;1652887193;232394722,5;652303998,3;27596726111;88410924,37;106492,7;68347681,07;8649866,17;68652,96;7703,66;51883192,49;317861795,5;1079372,01;3532388,77;666312,34;;4,60195E+11
"Ofish""""";184851340,4;10955002609;1224158832;4215889042;87004591880;1,13798E+12;312317124;218290506,9;58958884,75;4982732867;8204292035;637402021,4;1784471381;8,29129E+11;856843694,9;907903,89;269735588,1;93251883,78;2932146,53;237733,6;215296649,5;1645027997;4085784,63;25881591,59;5316844,6;;2,09001E+12
"Clup""""";1505344302;85384214368;8464130588;54377869925;7,71459E+11;2,29219E+13;3037837499;2489633261;855143303,5;69879327250;1,06619E+11;12774183504;35724696322;4,74663E+12;7621855840;4227457,07;4108544309;765072531,8;2744773,26;37560,37;3152143142;20730679404;35519087,78;127708509,6;38888291,5;;2,88577E+13
"Zoopl""""";81118215225;5,07219E+12;6,06836E+11;1,13798E+12;3,66751E+13;7,89433E+11;1,16777E+11;71323333838;11808575625;1,14617E+12;2,2036E+12;1506328063;967201630,2;4,48756E+14;3,6163E+11;78877068,79;49521341906;41032661096;68303284,96;568636,45;43652756950;4,62613E+11;447785747;1411299535;2039605635;;4,97633E+14
"Bird""""";3485140,77;181803049,4;18525573,73;97599101,24;1518918749;36492953485;6979634,72;4840047,28;1735967,55;119383881,4;185559205,5;20327788,11;57568871,64;10796397429;15753332,92;26604,81;6905661,74;1564568,77;14506,24;2672,05;5429386,89;36795550,94;324586,76;851822,27;307715,45;;49574054333
"Sciae""""";4815788,41;261550244,7;28701510,39;122788410,1;2240669935;40119375284;8712085,11;5797823,44;1760644,21;149119810,9;238245556,9;22606261,99;63847827,98;18776104790;20974147,8;58130,87;8382538,32;2397930,3;200427,1;18584,49;6675820,78;47621171,4;313633,69;1700508,97;235242,27;;62132674108
"ShaRay""""";3256350,19;173196918,8;19951930,76;58958884,75;1368229286;11808575625;5555096,15;3130034,15;867178,21;65405546,38;111307468,3;6734377,36;19539426,75;13900168806;13103906,8;45400,6;3402865,13;1526982,99;122428,79;12999,14;2881489,29;23044339,46;297109,18;1299149,68;328653,71;;27590942253
"Omollu""""";132848241;8072534828;918214994;2802787238;62891394525;6,44719E+11;214890986,5;149119810,9;36790619,84;3251739215;5472745736;361923479,2;1005509699;6,37772E+11;617449593,7;288886,48;171166534,8;68060790,94;717047,36;47035,87;137840972,6;1102196668;2112648,91;7047532,53;5161137,14;;1,36991E+12
"Mycto""""";155805124,5;9388852691;1051837304;3589377765;74632959356;9,64074E+11;259782887,7;185302099,8;48697017,4;4256580017;7017546187;538753041,9;1502394329;7,16055E+11;732288109,3;273465,04;229670170,9;79405197,6;293845,07;10196,37;182700464;1403438574;1845917,49;7037539,67;3916538,81;;1,7854E+12
"OmacroCrus""""";31059576,31;1942666718;232394722,5;438213889,7;14051601854;1035600543;44721133,85;27629875,76;4629884,43;442350919;846611923;2630414,92;3521075,74;1,71807E+11;138678347,7;293316,82;19344694,81;17123883,12;1188773,45;92013,08;17499649,01;177990878,5;3065627,33;5993286,73;10013116,42;;1,91302E+11
"Shri""""";95419036,09;5964648321;711604361,8;1338353536;42869635587;725401222,6;138165291,9;85130437,3;14654570,06;1340679598;2575533136;3841173,54;671727,04;5,24716E+11;426688882,9;317049,21;58243911,67;51053043,32;373580,19;20891,38;52341544,75;541244379,4;8779920,61;2924756,9;27061130,5;;5,81748E+11
"Phyto""""";10152866583;4,97892E+11;32614312676;6,73668E+11;6,17062E+12;3,64614E+14;28070633314;27121040252;11293887155;9,21226E+11;1,32982E+12;2,03045E+11;5,68442E+11;7,83021E+11;59176679220;51261270,55;57135855016;5330632049;31823078,5;657106,62;42881388330;2,52823E+11;439869858,1;1740830889;142203897,9;;3,76291E+14
"Scom""""";9270519,86;479703243,7;48224140,56;321316385,6;4573113504;1,35611E+11;18903999,51;13982765,2;4913965,05;411633062,5;627675522,2;75642735,1;213344441,4;27312313486;42330205,12;65623,19;24253142,63;4485931,71;26680,74;7330,97;18797943,85;122977461,5;546180,64;2157561,32;95470,98;;1,69937E+11
"ScoTrig""""";25144,12;1280938,3;106492,7;624183,93;4650202,78;54227984,8;58530,58;71048,84;31212,91;353083,48;429730,77;293316,82;290628,44;43374921,23;120309,18;30464,34;53695,54;268391,16;121199,07;9589,93;119879,9;118505,51;617582,27;473994,49;1819474,48;;109570505,6
"Lutja""""";9676773,65;592513450,2;68347681,07;185443216,8;4519398740;34045922560;15192455,83;10245324,61;2339469,77;209203542,6;360910268,5;19344694,81;53390252,36;48345723475;44464094,82;53695,54;10695643,82;5152424,04;216538,65;15787,1;8789827,77;73363293,18;588608,05;1102018,13;1722990,41;;88583816828
"RedCrab""""";741674,38;40813448,12;3931757,35;29141213,68;382536265,9;12822706593;1564568,77;1332183,5;477182,18;37811550,52;56717998,29;7783583,23;21272101,38;2050243096;3738276,43;121995,98;2342010,93;793200,71;662333,22;53236,01;1893413,36;11163347,38;632288,31;3170486,77;1800537,39;;15483444342
"Crab""""";8927,67;692621,49;43688,25;1282814,11;1921341,28;29882687,17;20308,73;155887,74;53562,59;557703,5;293845,07;756492,2;217921,78;17135503,81;31127,53;77126,68;137797,32;927266,51;144636,93;10901,79;426455,84;207453,4;2426740,79;617131,11;7331042,94;;65360986,23
"Stoma""""";586,78;40821,41;2101;44575,05;11268,11;106619,33;1603,23;6194,83;2437,34;15678,62;4369,87;25094,48;5222,85;151639,99;3665,48;2615,44;4305,57;31941,61;4672,19;360,47;14065,21;5416,79;83863,5;19492,42;253795,35;;842406,93
"Serra""""";9493333,64;577316128,1;66033154,07;188384568,3;4413000399;38196162331;15202283,3;10384610,11;2521303,12;214419290,6;365400928;22272280,56;61065135,55;46179956663;43861868,97;152574,42;11187053,53;5301557,4;852911,68;65637,65;9189909,58;74073287,25;839457,16;3834891,78;2336412,82;;90473307971
"Haem""""";30388802,24;1820987729;202275688,1;719699748,7;14511475583;2,02393E+11;51513771,32;37038688,86;10081898,51;857264074,9;1403438574;113266922,7;315725888;1,36136E+11;143473705,1;75412,6;46685732,03;15628686,33;207453,4;12639,17;37036643,62;280013681,7;938132,96;2001997,77;1975388,95;;3,5913E+11
"Parali""""";107569,75;4024252,91;392498,91;1021446,16;14207635,11;111946436,7;259669,41;139392,75;74277,3;938955,07;1054809,99;1114773,58;2926640,2;135344571,7;364120,43;224575,37;214039,29;505830,65;1386709,02;111818;239844,9;536075,97;209114,72;6462911,19;407601,63;;284215570,8
"Polych""""";441622,72;23014663,96;1926757,51;9705596,85;76625105,75;529237325,8;1022186,73;1133672,64;487181,13;4698355,02;6032176,86;3269065,49;1462378,45;803460410,5;2157561,32;258542,45;601100,8;3804584,12;528969,52;38984,84;1643525,05;1715998,08;9694366,78;2147407,6;27686874,7;;1512794415
"MeioBenth""""";269373,1;3362176,31;666312,34;3655330,67;42777120,65;1402228874;676973,98;287518,33;225949,43;6308056,51;6154560,99;10013116,42;24806036,29;120326375,2;175030,12;1819474,48;1722990,41;3961182,26;11520210,34;930582,94;1835752,93;3104182,63;1120904,49;50759270,27;2269588,99;;1700976944
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
WO3;"Mamm""""";"Squid""""";"Caran""""";"Ofish""""";"Clup""""";"Zoopl""""";"Bird""""";"Sciae""""";"ShaRay""""";"Omollu""""";"Mycto""""";"OmacroCrus""""";"Shri""""";"Phyto""""";"Scom""""";"ScoTrig""""";"Lutja""""";"RedCrab""""";"Crab""""";"Stoma""""";"Serra""""";"Haem""""";"Parali""""";"Polych""""";"MeioBenth""""";;SUM
"Bird""""";0,06;0,06;0,06;0,06;0,06;0,06;0;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0;0,06;0,04;0;0;0,06;0,06;0;0,02;0,02;;1,1
"Caran""""";0,06;0,16;0;0,16;0,16;0,16;0,06;0,06;0,06;0,16;0,16;0,1;0,14;0,16;0,06;0;0,06;0,04;0;0;0,06;0,14;0;0,02;0,02;;2
"Clup""""";0,06;0,2;0,16;0,24;0;0,38;0,06;0,06;0,06;0,2;0,22;0,1;0,16;0,38;0,06;0;0,06;0,04;0;0;0,06;0,14;0;0,02;0,02;;2,68
"Crab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Haem""""";0,06;0,14;0,14;0,14;0,14;0,14;0,06;0,06;0,06;0,14;0,14;0,1;0,14;0,14;0,06;0;0,06;0,04;0;0;0,06;0;0;0,02;0,02;;1,86
"Lutja""""";0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0;0;0,04;0;0;0,06;0,06;0;0,02;0,02;;1,1
"Mamm""""";0;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0;0,06;0,04;0;0;0,06;0,06;0;0,02;0,02;;1,1
"MeioBenth""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0;0,02;0,02;0;0;0,02;0,02;0;0;0;;0,38
"Mycto""""";0,06;0,18;0,16;0,22;0,22;0,22;0,06;0,06;0,06;0,2;0;0,1;0,16;0,22;0,06;0;0,06;0,04;0;0;0,06;0,14;0;0,02;0,02;;2,32
"Ofish""""";0,06;0,2;0,16;0;0,24;0,24;0,06;0,06;0,06;0,2;0,22;0,1;0,16;0,24;0,06;0;0,06;0,04;0;0;0,06;0,14;0;0,02;0,02;;2,4
"OmacroCrus""""";0,06;0,1;0,1;0,1;0,1;0,1;0,06;0,06;0,06;0,1;0,1;0;0,1;0,1;0,06;0;0,06;0,04;0;0;0,06;0,1;0;0,02;0,02;;1,5
"Omollu""""";0,06;0,18;0,16;0,2;0,2;0,2;0,06;0,06;0,06;0;0,2;0,1;0,16;0,2;0,06;0;0,06;0,04;0;0;0,06;0,14;0;0,02;0,02;;2,24
"Parali""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0,06;0,2;0,16;0,24;0,38;0,4;0,06;0,06;0,06;0,2;0,22;0,1;0,16;0;0,06;0;0,06;0,04;0;0;0,06;0,14;0;0,02;0,02;;2,7
"Polych""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0;0,02;0,02;0;0;0,02;0,02;0;0;0;;0,38
"RedCrab""""";0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0;0,04;0;0;0;0,04;0,04;0;0,02;0,02;;0,76
"Sciae""""";0,06;0,06;0,06;0,06;0,06;0,06;0,06;0;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0;0,06;0,04;0;0;0,06;0,06;0;0,02;0,02;;1,1
"Scom""""";0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0;0;0,06;0,04;0;0;0,06;0,06;0;0,02;0,02;;1,1
"ScoTrig""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Serra""""";0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0;0,06;0,04;0;0;0;0,06;0;0,02;0,02;;1,1
"ShaRay""""";0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0;0,06;0,06;0,06;0,06;0,06;0,06;0;0,06;0,04;0;0;0,06;0,06;0;0,02;0,02;;1,1
"Shri""""";0,06;0,14;0,14;0,16;0,16;0,16;0,06;0,06;0,06;0,16;0,16;0,1;0;0,16;0,06;0;0,06;0,04;0;0;0,06;0,14;0;0,02;0,02;;1,98
"Squid""""";0,06;0;0,16;0,2;0,2;0,2;0,06;0,06;0,06;0,18;0,18;0,1;0,14;0,2;0,06;0;0,06;0,04;0;0;0,06;0,14;0;0,02;0,02;;2,2
"Stoma""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0,06;0,2;0,16;0,24;0,38;0;0,06;0,06;0,06;0,2;0,22;0,1;0,16;0,4;0,06;0;0,06;0,04;0;0;0,06;0,14;0;0,02;0,02;;2,7
