TI3;"BalWhale""""";"Jwhit""""";"NorPout""""";"Sprat""""";"Mack""""";"Sande""""";"FiltFeedPelaFish""""";"SquidCuttFish""""";"CarnZoopl""""";"GelZoopl""""";"ToothWhale""""";"Jcod""""";"Awhit""""";"Ahadd""""";"Jsaithe""""";"Ashaite""""";"Hake""""";"Lgado""""";"Sgado""""";"Aherr""""";"HorMack""""";"Seal""""";"Acod""""";"MonkFish""""";"Plai""""";"Dab""""";"LRDab""""";"Flou""""";"Sole""""";"LemSole""""";"Witch""""";"TurBrill""""";"Meg""""";"Dragon""""";"SdemFish""""";"Bird""""";"Jherr""""";"HerbOmnZoopl""""";"Spur""""";"Ssha""""";"EpiFauMacroBenth""""";"InFauMacroBenth""""";"Jray""""";"Lcrab""""";"Shri""""";"SMobEpiFai""""";"SInFau""""";"MeioFau""""";"StarRay""""";"ThornRay""""";"SkateRay""""";"Jhadd""""";"Gurna""""";"Hal""""";"Neph""""";"SessEpiBenth""""";"BlueWhit""""";"LdemFish""""";"PlMicroFlo""""";"Phyto""""";"FishLarv""""";"CatFish""""";"BenthMicroFlo""""";;SUM;
"Spur""""";0,01;0;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,04;0,01;0;0,02;0;0,01;0,01;0,01;0;0,01;0,03;0,01;0,01;0,01;0,01;0,03;0;0;0;0,01;0;0;0;0,01;0;0;0,01;0,01;0,01;0,02;0;0;0;0;0;0;0;0;0;0,01;0,01;0;0;0;0,01;0;0;0,01;0;0,01;0,01;0,01;0;0;;0,49;
"Ssha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;;0,11;
"EpiFauMacroBenth""""";0,02;0,03;0,02;0,02;0,03;0,03;0,04;0,02;0,02;0,02;0,01;0,03;0,03;0,03;0,02;0,01;0,01;0,02;0,03;0,01;0,02;0,02;0,03;0,02;0,04;0,04;0,03;0,04;0,05;0,06;0,07;0,05;0,02;0,04;0,03;0,01;0,01;0,02;0,02;0,2;0,04;0,04;0,05;0,04;0,02;0,03;0,04;0,03;0,04;0,05;0,05;0,04;0,04;0,02;0,02;0,03;0,03;0,02;0,04;0,05;0,01;0,14;0,06;;2,17;
"InFauMacroBenth""""";0,01;0,03;0,03;0,01;0,01;0,03;0,01;0,02;0,02;0,01;0,01;0,03;0,03;0,03;0,04;0,01;0,01;0,01;0,03;0,01;0,03;0,02;0,03;0,02;0,04;0,04;0,03;0,04;0,05;0,06;0,07;0,05;0,01;0,04;0,03;0,01;0,01;0,01;0,01;0,2;0,04;0,04;0,05;0,04;0,02;0,03;0,03;0,05;0,02;0,02;0,02;0,04;0,02;0,02;0,04;0,03;0,01;0,07;0,04;0,01;0,01;0,14;0,06;;2,05;
"Jray""""";0,01;0,01;0,02;0;0,01;0,01;0,01;0,01;0,02;0;0;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,01;;0,59;
"Lcrab""""";0,01;0,03;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,03;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,02;0,03;0,01;0,04;0,04;0,03;0,04;0,02;0,02;0,02;0,02;0,05;0,04;0,03;0,01;0,01;0,01;0,01;0,02;0,03;0,03;0,05;0,03;0,03;0,03;0,03;0,02;0,04;0,05;0,05;0,02;0,04;0,05;0,04;0,05;0,01;0,02;0,04;0,01;0,01;0,13;0,06;;1,7;
"Shri""""";0,02;0,03;0,02;0,02;0,02;0,02;0,05;0,03;0,03;0,02;0,02;0,03;0,03;0,03;0,04;0,04;0,01;0,04;0,03;0,02;0,02;0,02;0,03;0,02;0,04;0,04;0,03;0,04;0,02;0,02;0,02;0,04;0,05;0,04;0,03;0,01;0,02;0,03;0,01;0,01;0,02;0,02;0,05;0,03;0,03;0,03;0,03;0,05;0,04;0,05;0,05;0,04;0,04;0,02;0,02;0,02;0,04;0,08;0,04;0,01;0,01;0,02;0,06;;1,89;
"SMobEpiFai""""";0,02;0,03;0,03;0,02;0,03;0,03;0,04;0,03;0,03;0,02;0,02;0,03;0,03;0,04;0,04;0,04;0,01;0,04;0,03;0,04;0,02;0,02;0,02;0,02;0,04;0,04;0,03;0,04;0,02;0,02;0,02;0,02;0,02;0,04;0,03;0,02;0,05;0,02;0,02;0,02;0,03;0,03;0,05;0,04;0,03;0,03;0,03;0,05;0,05;0,05;0,05;0,04;0,04;0,02;0,04;0,02;0,02;0,02;0,04;0,01;0,01;0,02;0,06;;1,9;
"SInFau""""";0,01;0,03;0,02;0,01;0,03;0,03;0,04;0,03;0,01;0,01;0,01;0,03;0,03;0,03;0,04;0,01;0,01;0,03;0,03;0,01;0,01;0,02;0,02;0,02;0,04;0,03;0,03;0,02;0,05;0,06;0,07;0,02;0,02;0,04;0,03;0,01;0,01;0,01;0,01;0,02;0,03;0,03;0,05;0,03;0,03;0,02;0,03;0,05;0,04;0,05;0,05;0,04;0,02;0,02;0,04;0,03;0,01;0,02;0,04;0,01;0,01;0,02;0,06;;1,75;
"MeioFau""""";0;0,01;0;0;0;0,01;0,01;0,01;0;0;0;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0;0;0,01;0,01;0,01;0,03;0,02;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,03;0,02;0;0;0;0,01;0,01;0,01;0,02;0,04;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0;0,01;0,01;0;0;0,01;0,05;;0,63;
"StarRay""""";0;0,01;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0;0,01;0,02;0,01;0,01;0,01;0,01;0;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,02;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,01;;0,67;
"ThornRay""""";0;0,01;0;0,02;0;0,01;0,01;0,01;0;0;0;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0;0;0,01;0,01;0;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0;0;0;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0;0,01;0,01;;0,48;
"SkateRay""""";0;0,01;0,02;0;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0;0;0,01;0,01;;0,59;
"Jhadd""""";0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,02;0,02;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,05;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,73;
"Gurna""""";0,01;0,03;0,02;0,02;0,01;0,02;0,01;0,02;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,02;0,01;0,01;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,85;
"Hal""""";0,01;0,02;0,02;0,02;0,01;0,01;0;0,01;0,01;0;0,01;0,02;0,01;0;0,01;0;0,01;0,01;0,01;0;0,01;0;0,01;0;0;0;0,01;0;0;0;0;0,01;0,01;0;0;0,01;0;0,01;0,01;0;0;0;0,01;0,02;0;0;0;0;0,01;0,01;0,01;0,03;0,01;0,01;0;0;0;0;0;0,01;0;0,01;0;;0,43;
"Neph""""";0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,04;0,01;0,01;0,03;0,05;0,01;0,01;0,05;;0,85;
"SessEpiBenth""""";0;0;0;0,01;0,02;0,01;0;0,01;0,01;0,01;0;0,01;0,01;0,02;0;0;0;0,01;0,01;0;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,03;0,01;0,05;0,06;0,01;0;0;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0;0,03;0,03;0;0;0,03;0,05;0,01;0,01;0,01;;0,71;
"BlueWhit""""";0,01;0,01;0,02;0,03;0,03;0,01;0,04;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,06;0,03;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,05;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0;0,01;0,01;0,02;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,02;0,01;0,01;0,01;0,01;0,01;0;;0,8;
"LdemFish""""";0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0,02;0;0,01;0;0,01;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0,01;0;0;;0,29;
"PlMicroFlo""""";0,01;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,02;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,04;0,01;0,01;0,02;0,02;0,02;0,01;0,05;;0,86;
"Phyto""""";0,01;0;0;0,02;0,01;0,01;0,01;0,01;0,01;0,05;0;0;0;0,01;0,01;0;0;0;0;0;0,01;0;0;0;0,01;0;0;0,01;0;0,01;0,01;0;0;0;0;0,01;0;0,02;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,03;0,04;0,01;0;0,01;0,02;0,07;0;0,01;;0,54;
"FishLarv""""";0,01;0;0;0;0;0;0,01;0,01;0,02;0,04;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0,02;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0,01;0,01;0,05;0,02;0;0;;0,35;
"CatFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;;0,15;
"BenthMicroFlo""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0;0;0;0;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,04;0,01;0,01;0,01;0,01;0;0;0,03;0,01;0;0,01;0,03;0,01;0;0,01;0,02;;0,47;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"BalWhale""""";"Jwhit""""";"NorPout""""";"Sprat""""";"Mack""""";"Sande""""";"FiltFeedPelaFish""""";"SquidCuttFish""""";"CarnZoopl""""";"GelZoopl""""";"ToothWhale""""";"Jcod""""";"Awhit""""";"Ahadd""""";"Jsaithe""""";"Ashaite""""";"Hake""""";"Lgado""""";"Sgado""""";"Aherr""""";"HorMack""""";"Seal""""";"Acod""""";"MonkFish""""";"Plai""""";"Dab""""";"LRDab""""";"Flou""""";"Sole""""";"LemSole""""";"Witch""""";"TurBrill""""";"Meg""""";"Dragon""""";"SdemFish""""";"Bird""""";"Jherr""""";"HerbOmnZoopl""""";"Spur""""";"Ssha""""";"EpiFauMacroBenth""""";"InFauMacroBenth""""";"Jray""""";"Lcrab""""";"Shri""""";"SMobEpiFai""""";"SInFau""""";"MeioFau""""";"StarRay""""";"ThornRay""""";"SkateRay""""";"Jhadd""""";"Gurna""""";"Hal""""";"Neph""""";"SessEpiBenth""""";"BlueWhit""""";"LdemFish""""";"PlMicroFlo""""";"Phyto""""";"FishLarv""""";"CatFish""""";"BenthMicroFlo""""";;SUM;
"Acod""""";0,01;0,13;0,16;0,1;0,1;0,23;0,01;0,21;0,13;0,02;0,06;0,21;0,17;0,06;0,02;0,08;0,02;0,08;0,23;0,02;0,14;0,13;0;0,04;0,04;0,11;0,17;0,07;0,02;0,02;0;0,03;0,02;0,08;0,18;0,04;0,02;0,13;0,02;0;0,18;0,17;0,01;0,14;0,18;0,21;0,15;0,03;0,04;0,01;0,02;0,02;0,09;0,01;0,07;0,04;0,04;0;0,04;0,01;0;0;0,01;;4,78;0,0309
"Ahadd""""";0;0,07;0,08;0,02;0,06;0,11;0,02;0,1;0,05;0,01;0,03;0,12;0,1;0;0,01;0,05;0,01;0,06;0,11;0,04;0,06;0,05;0,06;0,02;0,04;0,07;0,09;0,06;0,01;0,02;0,01;0,01;0,01;0,04;0,08;0;0,02;0,03;0;0;0,07;0,08;0;0,07;0,09;0,1;0,06;0,01;0,02;0;0;0,01;0,03;0;0,06;0,02;0,03;0;0,02;0,02;0;0;0,01;;2,38;0,0154
"Aherr""""";0;0,02;0,06;0,04;0,06;0,08;0,02;0,07;0,06;0,02;0,03;0,07;0,04;0,04;0,02;0,05;0,01;0,04;0,08;0;0,02;0,04;0,02;0,02;0,02;0,03;0,03;0,01;0,01;0,01;0;0,01;0,01;0,02;0,04;0,02;0,03;0,05;0,01;0;0,02;0,01;0;0,02;0,03;0,05;0,02;0;0,01;0;0;0;0;0;0;0;0,02;0;0,01;0,01;0;0;0;;1,35;0,0087
"Ashaite""""";0,02;0,06;0,12;0,06;0,09;0,13;0,04;0,13;0,11;0,02;0,07;0,1;0,08;0,05;0,03;0;0,03;0,09;0,13;0,05;0,08;0,05;0,08;0,02;0,01;0,02;0,05;0,01;0,01;0,01;0;0,01;0,02;0,01;0,05;0,04;0,04;0,1;0,02;0;0,05;0,03;0;0,02;0,08;0,1;0,05;0;0,01;0;0,01;0,01;0,02;0;0,02;0,01;0,07;0;0,02;0,01;0;0;0;;2,49;0,0161
"Awhit""""";0,01;0,16;0,17;0,1;0,1;0,23;0,02;0,21;0,13;0,02;0,06;0,21;0;0,1;0,03;0,08;0,02;0,09;0,23;0,04;0,14;0,1;0,17;0,02;0,05;0,1;0,16;0,06;0,01;0,01;0;0,02;0,02;0,07;0,16;0,02;0,02;0,13;0;0;0,15;0,16;0;0,11;0,17;0,19;0,14;0,02;0,02;0;0,02;0,02;0,07;0,02;0,06;0,01;0,05;0;0,03;0,01;0;0;0,01;;4,5;0,0291
"BalWhale""""";0;0;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,01;0;0,01;0;0,01;0,02;0,01;0;0,02;0;0,01;0;0,01;0;0,01;0;0;0,01;0;0;0;0;0,01;0;0;0,01;0,01;0,02;0,02;0;0,02;0;0;0;0,01;0,02;0,02;0;0;0;0;0;0;0;0;0;0,02;0;0,02;0,01;0,01;0;0;;0,4;0,0026
"BenthMicroFlo""""";0;0;0;0,01;0,01;0,02;0;0;0,01;0,01;0;0,01;0,01;0,01;0;0;0;0;0,02;0;0,02;0;0,01;0;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0,01;0,01;0;0;0,01;0;0;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,01;0;0;0;0;0;0;0,02;0,02;0;0;0,01;0,01;0;0;0;;0,4;0,0026
"Bird""""";0,01;0,02;0,05;0,03;0,05;0,05;0,01;0,05;0,04;0,01;0,03;0,04;0,02;0;0,02;0,04;0,02;0,02;0,05;0,02;0,03;0,02;0,04;0,01;0;0,01;0;0;0;0;0;0;0;0;0,02;0;0,02;0,05;0,02;0;0,01;0,01;0;0;0,01;0,03;0,01;0;0,01;0;0,01;0,01;0,02;0;0,01;0;0,03;0;0,03;0,01;0;0;0;;0,97;0,0063
"BlueWhit""""";0,02;0,04;0,1;0,06;0,07;0,1;0,05;0,1;0,08;0,02;0,06;0,06;0,05;0,03;0,03;0,07;0,02;0,04;0,1;0,02;0,06;0,03;0,04;0;0;0,01;0,02;0;0;0;0;0;0,02;0,01;0,03;0,03;0,05;0,08;0,01;0;0,02;0,02;0;0,02;0,06;0,06;0,02;0;0;0;0;0,01;0,02;0;0,01;0;0;0;0,03;0,01;0;0;0;;1,75;0,0113
"CarnZoopl""""";0,02;0,12;0,22;0,17;0,14;0,27;0,06;0,25;0;0,08;0,1;0,17;0,13;0,05;0,03;0,11;0,02;0,1;0,24;0,06;0,16;0,08;0,13;0,02;0,02;0,06;0,11;0,02;0;0,01;0;0,01;0,02;0,02;0,12;0,04;0,06;0,21;0,02;0;0,13;0,13;0;0,1;0,18;0,19;0,13;0,01;0,01;0;0,01;0,02;0,03;0,02;0,05;0,03;0,08;0;0,03;0,03;0,02;0;0,01;;4,65;0,0301
"CatFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0000
"Dab""""";0;0,11;0,1;0,06;0,04;0,16;0,01;0,13;0,06;0,02;0;0,16;0,1;0,07;0,01;0,02;0;0,05;0,16;0,03;0,06;0,08;0,11;0,02;0,05;0;0,13;0,07;0,02;0,02;0,01;0,02;0,01;0,1;0,17;0,01;0,01;0,05;0;0;0,16;0,14;0,02;0,14;0,15;0,16;0,12;0,03;0,02;0;0;0,01;0,05;0;0,06;0,02;0,01;0;0,02;0,02;0;0;0,01;;3,35;0,0217
"Dragon""""";0;0,08;0,06;0,05;0,01;0,13;0,01;0,07;0,02;0;0;0,11;0,07;0,04;0;0,01;0;0,02;0,13;0,02;0,05;0,06;0,08;0,01;0,04;0,1;0,09;0,04;0,02;0,01;0;0,02;0,02;0;0,12;0;0,01;0,03;0;0;0,12;0,1;0,01;0,11;0,12;0,1;0,09;0,02;0,02;0;0,01;0;0,04;0;0,03;0;0,01;0;0,01;0;0;0;0,01;;2,3;0,0149
"EpiFauMacroBenth""""";0,02;0,13;0,16;0,1;0,06;0,29;0,02;0,21;0,13;0,04;0,03;0,23;0,15;0,07;0,01;0,05;0,02;0,06;0,27;0,02;0,12;0,13;0,18;0,03;0,07;0,16;0,17;0,09;0,03;0,02;0,01;0,03;0,03;0,12;0,25;0,01;0,02;0,11;0,02;0;0;0,28;0,02;0,25;0,26;0,28;0,27;0,06;0,03;0,01;0,02;0,02;0,06;0,02;0,1;0,08;0,02;0;0,04;0,02;0,01;0;0,02;;5,53;0,0358
"FiltFeedPelaFish""""";0,02;0,02;0,06;0,06;0,04;0,07;0;0,07;0,06;0,04;0,02;0,02;0,02;0,02;0,02;0,04;0,01;0,03;0,06;0,02;0,02;0,02;0,01;0;0,01;0,01;0;0,01;0;0;0;0;0,02;0,01;0,01;0,01;0,02;0,06;0,01;0;0,02;0,01;0;0,01;0,06;0,04;0,02;0;0;0;0;0;0;0;0;0;0,05;0;0,02;0,02;0,01;0;0;;1,13;0,0073
"FishLarv""""";0,01;0;0;0,02;0;0,02;0,01;0,02;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0,01;0;0;0,01;0;0;0;0;0;0;0;0;0;0,02;0,01;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0;0;0,01;0,02;0;0;0;;0,25;0,0016
"Flou""""";0,01;0,04;0,03;0,02;0,02;0,07;0,01;0,07;0,02;0,02;0;0,09;0,06;0,06;0;0,01;0;0,02;0,06;0,01;0,04;0,06;0,07;0,02;0,04;0,07;0,07;0;0,01;0,02;0,01;0,02;0,01;0,04;0,08;0;0;0,02;0,01;0;0,09;0,09;0,01;0,08;0,06;0,07;0,06;0,01;0,02;0;0;0,01;0,04;0;0,06;0,04;0;0;0,03;0,02;0,01;0;0,01;;1,89;0,0122
