TI3;"BalWhale""""";"Jwhit""""";"NorPout""""";"Sprat""""";"Mack""""";"Sande""""";"FiltFeedPelaFish""""";"SquidCuttFish""""";"CarnZoopl""""";"GelZoopl""""";"ToothWhale""""";"Jcod""""";"Awhit""""";"Ahadd""""";"Jsaithe""""";"Ashaite""""";"Hake""""";"Lgado""""";"Sgado""""";"Aherr""""";"HorMack""""";"Seal""""";"Acod""""";"MonkFish""""";"Plai""""";"Dab""""";"LRDab""""";"Flou""""";"Sole""""";"LemSole""""";"Witch""""";"TurBrill""""";"Meg""""";"Dragon""""";"SdemFish""""";"Bird""""";"Jherr""""";"HerbOmnZoopl""""";"Spur""""";"Ssha""""";"EpiFauMacroBenth""""";"InFauMacroBenth""""";"Jray""""";"Lcrab""""";"Shri""""";"SMobEpiFai""""";"SInFau""""";"MeioFau""""";"StarRay""""";"ThornRay""""";"SkateRay""""";"Jhadd""""";"Gurna""""";"Hal""""";"Neph""""";"SessEpiBenth""""";"BlueWhit""""";"LdemFish""""";"PlMicroFlo""""";"Phyto""""";"FishLarv""""";"CatFish""""";"BenthMicroFlo""""";;SUM;
"GelZoopl""""";0,02;0,02;0,05;0,06;0,04;0,08;0,04;0,08;0,08;0;0;0,02;0,02;0,01;0,02;0,02;0;0,02;0,05;0,02;0,02;0,02;0,02;0;0,02;0,02;0,01;0,02;0,01;0,01;0;0;0,01;0;0,02;0,01;0,02;0,07;0,02;0;0,04;0,02;0;0,02;0,05;0,05;0,02;0,01;0;0,01;0;0;0;0;0,02;0,03;0,02;0;0,02;0,03;0,02;0;0,01;;1,29;0,0083
"Gurna""""";0;0,07;0,06;0,05;0,03;0,09;0;0,07;0,03;0;0,03;0,09;0,07;0,03;0,02;0,02;0,01;0,02;0,09;0;0,06;0,06;0,09;0,02;0,02;0,05;0,06;0,04;0;0;0;0,02;0,01;0,04;0,08;0,02;0,01;0,06;0;0;0,06;0,08;0,01;0,06;0,07;0,07;0,06;0,02;0,03;0;0,01;0,02;0;0,01;0,03;0,01;0,02;0;0,02;0;0;0;0;;1,97;0,0127
"Hake""""";0,01;0,02;0,03;0,03;0,03;0,03;0,01;0,03;0,02;0;0,02;0,02;0,02;0,01;0,02;0,03;0;0,02;0,03;0,01;0,03;0;0,02;0;0;0;0;0;0;0;0;0;0,01;0;0,01;0,02;0,01;0,02;0,01;0;0,02;0;0;0;0,01;0,01;0,01;0;0;0;0;0;0,01;0;0;0;0,02;0;0,02;0;0;0;0;;0,6;0,0039
"Hal""""";0;0,01;0,02;0,01;0;0,02;0;0,02;0,02;0;0,01;0,02;0,02;0;0;0;0;0;0,02;0;0,02;0;0,01;0;0;0;0,02;0;0;0;0;0,01;0;0;0,01;0;0;0,02;0;0;0,02;0,02;0;0,01;0,02;0,02;0,02;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;;0,3;0,0019
"HerbOmnZoopl""""";0,02;0,1;0,17;0,15;0,13;0,25;0,06;0,22;0,21;0,07;0,07;0,16;0,13;0,03;0,03;0,1;0,02;0,08;0,21;0,05;0,14;0,08;0,13;0,02;0,02;0,05;0,09;0,02;0;0;0;0,02;0,02;0,03;0,11;0,05;0,06;0;0,02;0;0,11;0,11;0,01;0,07;0,16;0,17;0,12;0,02;0,02;0;0,02;0,01;0,06;0,02;0,02;0,02;0,08;0;0,04;0,03;0,02;0;0,01;;4,25;0,0275
"HorMack""""";0,01;0,12;0,16;0,14;0,12;0,21;0,02;0,18;0,16;0,02;0,07;0,16;0,14;0,06;0,02;0,08;0,03;0,06;0,2;0,02;0;0,06;0,14;0,01;0,02;0,06;0,11;0,04;0,01;0,01;0;0,02;0,02;0,05;0,1;0,03;0,03;0,14;0,01;0;0,12;0,12;0;0,08;0,13;0,14;0,1;0;0;0;0,01;0,02;0,06;0,02;0,05;0,02;0,06;0;0,03;0,02;0,01;0;0,02;;3,83;0,0248
"InFauMacroBenth""""";0;0,13;0,14;0,09;0,06;0,27;0,01;0,2;0,13;0,02;0,05;0,23;0,16;0,08;0,01;0,03;0;0,06;0,26;0,01;0,12;0,14;0,17;0,03;0,07;0,14;0,17;0,09;0,03;0,02;0,01;0,03;0,02;0,1;0,25;0,01;0,02;0,11;0,01;0;0,28;0;0,02;0,24;0,25;0,26;0,25;0,06;0,03;0,01;0,02;0,02;0,08;0,02;0,1;0,07;0,02;0;0,04;0,02;0;0;0,02;;5,29;0,0342
"Jcod""""";0;0,19;0,23;0,13;0,13;0,31;0,02;0,29;0,17;0,02;0,08;0;0,21;0,12;0,03;0,1;0,02;0,11;0,31;0,07;0,16;0,17;0,21;0,04;0,05;0,16;0,21;0,09;0,02;0,02;0,01;0,03;0,02;0,11;0,25;0,04;0,06;0,16;0,01;0;0,23;0,23;0,01;0,21;0,25;0,27;0,21;0,03;0,04;0;0,02;0,03;0,09;0,02;0,09;0,06;0,06;0;0,05;0,02;0;0;0,01;;6,25;0,0404
"Jhadd""""";0;0,03;0,03;0,02;0,01;0,03;0;0,03;0,02;0;0,02;0,03;0,02;0,01;0,01;0,01;0;0,01;0,03;0;0,02;0,02;0,02;0,01;0;0,01;0,02;0,01;0;0;0;0;0;0;0,02;0,01;0,01;0,01;0;0;0,02;0,02;0;0,02;0,02;0,02;0,02;0;0,01;0;0;0;0,02;0;0,02;0;0,01;0;0,01;0;0;0;0;;0,63;0,0041
"Jherr""""";0,01;0,02;0,06;0,04;0,05;0,06;0,02;0,06;0,06;0,02;0,03;0,06;0,02;0,02;0,02;0,04;0,01;0,02;0,06;0,03;0,03;0,02;0,02;0;0;0,01;0,01;0;0,01;0;0;0;0;0,01;0,03;0,02;0;0,06;0,01;0;0,02;0,02;0;0,02;0,04;0,05;0,02;0;0;0;0;0,01;0,01;0;0,01;0;0,05;0;0,02;0,01;0;0;0;;1,19;0,0077
"Jray""""";0;0;0;0;0;0,02;0;0,01;0;0;0;0,01;0;0;0;0;0;0;0,02;0;0;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0;0;0,01;0;0,01;0,02;0;0;0,01;0;0;0,02;0,02;0;0,02;0,02;0,02;0,02;0,02;0,01;0;0;0;0,01;0;0;0,01;0;0;0;0;0;0;0,01;;0,3;0,0019
"Jsaithe""""";0,01;0,03;0,04;0,03;0,03;0,04;0,02;0,04;0,03;0,02;0,02;0,03;0,03;0,01;0;0,03;0,02;0,02;0,04;0,02;0,02;0,01;0,02;0;0;0,01;0;0;0;0;0;0;0,01;0;0,02;0,02;0,02;0,03;0;0;0,01;0,01;0;0;0,02;0,02;0,01;0;0;0;0;0,01;0,02;0;0,01;0;0,03;0;0,02;0,01;0;0;0;;0,81;0,0052
"Jwhit""""";0;0;0,16;0,12;0,09;0,2;0,02;0,17;0,12;0,02;0,05;0,19;0,16;0,07;0,03;0,06;0,02;0,07;0,19;0,02;0,12;0,07;0,13;0,01;0,02;0,11;0,13;0,04;0;0;0;0,01;0;0,08;0,16;0,02;0,02;0,1;0;0;0,13;0,13;0;0,12;0,16;0,15;0,11;0,01;0,02;0;0;0,03;0,07;0,01;0,06;0;0,04;0;0,03;0,01;0;0;0;;3,87;0,0250
"Lcrab""""";0;0,12;0,13;0,09;0,03;0,24;0,01;0,17;0,1;0,02;0,03;0,21;0,11;0,07;0;0,02;0;0,04;0,23;0,02;0,08;0,12;0,14;0,02;0,06;0,14;0,16;0,08;0,02;0,02;0,01;0,02;0,01;0,11;0,23;0;0,02;0,07;0,01;0;0,25;0,24;0,02;0;0,23;0,25;0,24;0,06;0,03;0,01;0,01;0,02;0,06;0,01;0,1;0,07;0,02;0;0,03;0,02;0;0;0,02;;4,63;0,0299
"LdemFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0000
"LemSole""""";0;0;0,01;0;0,01;0,01;0;0,02;0,01;0,01;0;0,02;0,01;0,02;0;0,01;0;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,01;0;0,01;0,01;0,01;0,01;0,02;0;0;0;0;0;0,02;0,02;0;0,02;0,01;0,02;0,01;0;0;0;0;0;0;0;0,02;0,02;0;0;0,01;0,01;0;0;0;;0,48;0,0031
"Lgado""""";0;0,07;0,1;0,05;0,07;0,12;0,03;0,12;0,1;0,02;0,04;0,11;0,09;0,06;0,02;0,09;0,02;0;0,12;0,04;0,06;0,05;0,08;0,03;0,01;0,05;0,06;0,02;0,01;0,01;0;0,01;0,02;0,02;0,06;0,02;0,02;0,08;0,01;0;0,06;0,06;0;0,04;0,09;0,1;0,05;0;0,02;0;0,01;0,01;0,02;0;0,02;0,01;0,04;0;0,01;0,01;0;0;0;;2,38;0,0154
"LRDab""""";0;0,13;0,14;0,06;0,05;0,2;0;0,17;0,11;0,01;0,04;0,21;0,16;0,09;0;0,05;0;0,06;0,2;0,03;0,11;0,1;0,17;0,03;0,03;0,13;0;0,07;0,01;0,02;0;0,02;0,01;0,09;0,17;0;0,01;0,09;0;0;0,17;0,17;0,01;0,16;0,19;0,2;0,16;0,02;0,02;0;0;0,02;0,06;0,02;0,07;0,03;0,02;0;0,02;0,01;0;0;0,01;;4,12;0,0266
"Mack""""";0,01;0,09;0,15;0,12;0;0,17;0,04;0,17;0,14;0,04;0,06;0,13;0,1;0,06;0,03;0,09;0,03;0,07;0,16;0,06;0,12;0,06;0,1;0,01;0,02;0,04;0,05;0,02;0;0,01;0,01;0;0,01;0,01;0,07;0,05;0,05;0,13;0,02;0;0,06;0,06;0;0,03;0,08;0,11;0,05;0;0,01;0;0,01;0,01;0,03;0;0,03;0,02;0,07;0;0,04;0,02;0;0;0,01;;3,08;0,0199
"Meg""""";0,01;0;0,02;0,01;0,01;0,03;0,02;0,02;0,02;0,01;0;0,02;0,02;0,01;0,01;0,02;0,01;0,02;0,03;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,02;0;0,02;0,02;0;0;0,02;0;0;0,03;0,02;0;0,01;0,02;0,02;0,02;0,01;0,01;0;0,01;0;0,01;0;0;0;0,02;0;0;0;0;0;0;;0,61;0,0039
"MeioFau""""";0;0,01;0,01;0;0;0,06;0;0,03;0,01;0,01;0;0,03;0,02;0,01;0;0;0;0;0,06;0;0;0,03;0,03;0,01;0,03;0,03;0,02;0,01;0,02;0;0;0,02;0,01;0,02;0,06;0;0;0,02;0,01;0;0,06;0,06;0,02;0,06;0,06;0,06;0,06;0;0,02;0,01;0,02;0;0,02;0;0,02;0,02;0;0;0,01;0;0;0;0,01;;1,03;0,0067
"MonkFish""""";0;0,01;0,02;0;0,01;0,04;0;0,04;0,02;0;0,02;0,04;0,02;0,02;0;0,02;0;0,03;0,04;0,02;0,01;0,04;0,04;0;0,01;0,02;0,03;0,02;0,01;0,01;0;0,02;0,01;0,01;0,02;0,01;0;0,02;0,01;0;0,03;0,03;0,01;0,02;0,02;0,03;0,02;0,01;0,02;0;0;0,01;0,02;0;0,02;0,02;0;0;0;0;0;0;0;;0,87;0,0056
"Neph""""";0;0,06;0,06;0,04;0,03;0,1;0;0,07;0,05;0,02;0,02;0,09;0,06;0,06;0,01;0,02;0;0,02;0,08;0;0,05;0,05;0,07;0,02;0,03;0,06;0,07;0,06;0;0,02;0,01;0;0;0,03;0,07;0,01;0,01;0,02;0;0;0,1;0,1;0;0,1;0,09;0,1;0,08;0,02;0,02;0;0;0,02;0,03;0;0;0,05;0,01;0;0,04;0,02;0,01;0;0,02;;2,13;0,0138
"NorPout""""";0,02;0,16;0;0,17;0,15;0,29;0,06;0,26;0,22;0,05;0,1;0,23;0,17;0,08;0,04;0,12;0,03;0,1;0,29;0,06;0,16;0,12;0,16;0,02;0,02;0,1;0,14;0,03;0,01;0,01;0;0,01;0,02;0,06;0,17;0,05;0,06;0,17;0,02;0;0,16;0,14;0;0,13;0,21;0,22;0,14;0,01;0,02;0;0,01;0,03;0,06;0,02;0,06;0,02;0,1;0;0,03;0,01;0;0;0;;5,27;0,0341
"Phyto""""";0,01;0,01;0,01;0,03;0,02;0,04;0,02;0,04;0,03;0,03;0;0,02;0,01;0,02;0,01;0,01;0;0,01;0,02;0,01;0,02;0;0,01;0;0,02;0,02;0,01;0,02;0;0,01;0,01;0;0;0;0,02;0,01;0,01;0,03;0,01;0;0,02;0,02;0;0,02;0,02;0,02;0,02;0;0;0;0;0;0;0;0,02;0,02;0,01;0;0,03;0;0,02;0;0,01;;0,73;0,0047
"Plai""""";0,01;0,02;0,02;0,03;0,02;0,08;0,01;0,06;0,02;0,02;0;0,05;0,05;0,04;0;0,01;0;0,01;0,07;0,02;0,02;0,03;0,04;0,01;0;0,05;0,03;0,04;0,02;0,02;0,01;0,01;0,01;0,04;0,07;0;0;0,02;0,02;0;0,07;0,07;0,01;0,06;0,06;0,06;0,06;0,03;0,01;0,01;0,01;0;0,02;0;0,03;0,02;0;0;0,02;0,02;0,01;0;0,01;;1,51;0,0098
"PlMicroFlo""""";0,02;0,03;0,03;0,04;0,04;0,06;0,02;0,05;0,03;0,02;0,02;0,05;0,03;0,02;0,02;0,02;0,02;0,01;0,05;0,01;0,03;0,01;0,04;0;0,02;0,02;0,02;0,03;0;0,01;0,01;0;0;0,01;0,04;0,03;0,02;0,04;0,02;0;0,04;0,04;0;0,03;0,03;0,05;0,04;0,01;0,01;0;0;0,01;0,02;0;0,04;0,02;0,03;0;0;0,03;0,01;0;0,01;;1,35;0,0087
"Sande""""";0,02;0,2;0,29;0,22;0,17;0;0,07;0,35;0,27;0,08;0,1;0,31;0,23;0,11;0,04;0,13;0,03;0,12;0,41;0,08;0,21;0,16;0,23;0,04;0,08;0,16;0,2;0,07;0,03;0,01;0;0,03;0,03;0,13;0,27;0,05;0,06;0,25;0,03;0;0,29;0,27;0,02;0,24;0,33;0,33;0,26;0,06;0,04;0,01;0,02;0,03;0,09;0,02;0,1;0,05;0,1;0;0,06;0,04;0,02;0;0,02;;7,66;0,0495
"SdemFish""""";0;0,16;0,17;0,1;0,07;0,27;0,01;0,21;0,12;0,02;0,04;0,25;0,16;0,08;0,02;0,05;0,01;0,06;0,27;0,04;0,1;0,15;0,18;0,02;0,07;0,17;0,17;0,08;0,03;0,02;0,01;0,03;0,02;0,12;0;0,02;0,03;0,11;0,01;0;0,25;0,25;0,02;0,23;0,24;0,25;0,23;0,06;0,03;0,01;0,02;0,02;0,08;0,01;0,07;0,05;0,03;0;0,04;0,02;0;0;0,01;;5,39;0,0349
"Seal""""";0;0,07;0,12;0,07;0,06;0,16;0,02;0,17;0,08;0,02;0,05;0,17;0,1;0,05;0,01;0,05;0;0,05;0,16;0,04;0,06;0;0,13;0,04;0,03;0,08;0,1;0,06;0,02;0,02;0;0,02;0,02;0,06;0,15;0,02;0,02;0,08;0,02;0;0,13;0,14;0,01;0,12;0,13;0,13;0,11;0,03;0,03;0,01;0,02;0,02;0,06;0;0,05;0,05;0,03;0;0,01;0;0;0;0;;3,42;0,0221
"SessEpiBenth""""";0;0;0,02;0,02;0,02;0,05;0;0,06;0,03;0,03;0,01;0,06;0,01;0,02;0;0,01;0;0,01;0,04;0;0,02;0,05;0,04;0,02;0,02;0,02;0,03;0,04;0,01;0,02;0,01;0,01;0;0;0,05;0;0;0,02;0,01;0;0,08;0,07;0,01;0,07;0,05;0,06;0,06;0,02;0,01;0,01;0;0;0,01;0;0,05;0;0;0;0,02;0,02;0,01;0;0,02;;1,26;0,0081
"Sgado""""";0,02;0,19;0,29;0,19;0,16;0,41;0,06;0,32;0,24;0,05;0,1;0,31;0,23;0,11;0,04;0,13;0,03;0,12;0;0,08;0,2;0,16;0,23;0,04;0,07;0,16;0,2;0,06;0,03;0,01;0;0,03;0,03;0,13;0,27;0,05;0,06;0,21;0,02;0;0,27;0,26;0,02;0,23;0,32;0,33;0,25;0,06;0,04;0,01;0,02;0,03;0,09;0,02;0,08;0,04;0,1;0;0,05;0,02;0;0;0,02;;7,27;0,0470
"Shri""""";0,01;0,16;0,21;0,13;0,08;0,33;0,06;0,23;0,18;0,05;0,06;0,25;0,17;0,09;0,02;0,08;0,01;0,09;0,32;0,03;0,13;0,13;0,18;0,02;0,06;0,15;0,19;0,06;0,02;0,01;0;0,02;0,02;0,12;0,24;0,01;0,04;0,16;0,01;0;0,26;0,25;0,02;0,23;0;0,3;0,25;0,06;0,03;0,01;0,02;0,02;0,07;0,02;0,09;0,05;0,06;0;0,03;0,02;0;0;0,02;;5,92;0,0383
"SInFau""""";0,02;0,11;0,14;0,08;0,05;0,26;0,02;0,19;0,13;0,02;0,05;0,21;0,14;0,06;0,01;0,05;0,01;0,05;0,25;0,02;0,1;0,11;0,15;0,02;0,06;0,12;0,16;0,06;0,02;0,01;0,01;0,02;0,02;0,09;0,23;0,01;0,02;0,12;0,02;0;0,27;0,25;0,02;0,24;0,25;0,28;0;0,06;0,03;0,01;0,02;0,02;0,06;0,02;0,08;0,06;0,02;0;0,04;0,02;0;0;0,02;;4,96;0,0321
"SkateRay""""";0;0;0,01;0;0,01;0,02;0;0,02;0,01;0;0;0,02;0,02;0;0;0,01;0;0,01;0,02;0;0,01;0,02;0,02;0;0,01;0;0;0;0;0;0;0,01;0,01;0,01;0,02;0,01;0;0,02;0;0;0,02;0,02;0;0,01;0,02;0,02;0,02;0,02;0,01;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;;0,39;0,0025
"SMobEpiFai""""";0,02;0,15;0,22;0,11;0,11;0,33;0,04;0,25;0,19;0,05;0,07;0,27;0,19;0,1;0,02;0,1;0,01;0,1;0,33;0,05;0,14;0,13;0,21;0,03;0,06;0,16;0,2;0,07;0,02;0,02;0,01;0,02;0,02;0,1;0,25;0,03;0,05;0,17;0,02;0;0,28;0,26;0,02;0,25;0,3;0;0,28;0,06;0,04;0,01;0,02;0,02;0,07;0,02;0,1;0,06;0,06;0;0,05;0,02;0;0;0,02;;6,34;0,0410
"Sole""""";0;0;0,01;0;0;0,03;0;0,02;0;0,01;0;0,02;0,01;0,01;0;0,01;0;0,01;0,03;0,01;0,01;0,02;0,02;0,01;0,02;0,02;0,01;0,01;0;0,01;0;0,01;0,01;0,02;0,03;0;0,01;0;0,01;0;0,03;0,03;0,01;0,02;0,02;0,02;0,02;0,02;0;0,01;0;0;0;0;0;0,01;0;0;0;0;0;0;0,01;;0,56;0,0036
"Sprat""""";0,02;0,12;0,17;0;0,12;0,22;0,06;0,2;0,17;0,06;0,07;0,13;0,1;0,02;0,03;0,06;0,03;0,05;0,19;0,04;0,14;0,07;0,1;0;0,03;0,06;0,06;0,02;0;0;0;0,01;0,01;0,05;0,1;0,03;0,04;0,15;0,02;0;0,1;0,09;0;0,09;0,13;0,11;0,08;0;0;0;0;0,02;0,05;0,01;0,04;0,02;0,06;0;0,04;0,03;0,02;0;0,01;;3,63;0,0235
"Spur""""";0,02;0;0,02;0,02;0,02;0,03;0,01;0,03;0,02;0,02;0,02;0,01;0;0;0;0,02;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,01;0,02;0;0;0,01;0,01;0;0;0;0;0;0,01;0,02;0,01;0,02;0;0;0,02;0,01;0;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0;0;0;0;0;0,01;0,01;0;0,02;0,01;0,01;0;0;;0,56;0,0036
"SquidCuttFish""""";0,02;0,17;0,26;0,2;0,17;0,35;0,07;0;0,25;0,08;0,1;0,29;0,21;0,1;0,04;0,13;0,03;0,12;0,32;0,07;0,18;0,17;0,21;0,04;0,06;0,13;0,17;0,07;0,02;0,02;0,01;0,02;0,02;0,07;0,21;0,05;0,06;0,22;0,03;0;0,21;0,2;0,01;0,17;0,23;0,25;0,19;0,03;0,02;0,01;0,02;0,03;0,07;0,02;0,07;0,06;0,1;0;0,05;0,04;0,02;0;0;;6,56;0,0424
"Ssha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0000
"StarRay""""";0;0,02;0,02;0;0,01;0,04;0;0,02;0,01;0;0,01;0,04;0,02;0,02;0;0,01;0;0,02;0,04;0,01;0;0,03;0,04;0,02;0,01;0,02;0,02;0,02;0;0;0;0,02;0,01;0,02;0,03;0,01;0;0,02;0,01;0;0,03;0,03;0,01;0,03;0,03;0,04;0,03;0,02;0;0;0,01;0,01;0,03;0;0,02;0,01;0;0;0,01;0;0;0;0;;0,85;0,0055
"ThornRay""""";0;0;0;0;0;0,01;0;0,01;0;0,01;0;0;0;0;0;0;0;0;0,01;0;0;0,01;0,01;0;0,01;0;0;0;0,01;0;0;0;0;0;0,01;0;0;0;0,01;0;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;;0,14;0,0009
"ToothWhale""""";0,01;0,05;0,1;0,07;0,06;0,1;0,02;0,1;0,1;0;0;0,08;0,06;0,03;0,02;0,07;0,02;0,04;0,1;0,03;0,07;0,05;0,06;0,02;0;0;0,04;0;0;0;0;0,01;0;0;0,04;0,03;0,03;0,07;0,02;0;0,03;0,05;0;0,03;0,06;0,07;0,05;0;0,01;0;0;0,02;0,03;0,01;0,02;0,01;0,06;0;0,02;0;0;0;0;;1,97;0,0127
"TurBrill""""";0;0,01;0,01;0,01;0;0,03;0;0,02;0,01;0;0,01;0,03;0,02;0,01;0;0,01;0;0,01;0,03;0,01;0,02;0,02;0,03;0,02;0,01;0,02;0,02;0,02;0,01;0,01;0;0;0,02;0,02;0,03;0;0;0,02;0;0;0,03;0,03;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0;0,01;0;0,02;0,01;0;0,01;0;0;0;0;0;0;0;;0,71;0,0046
"Witch""""";0;0;0;0;0,01;0;0;0,01;0;0;0;0,01;0;0,01;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0;0,01;0;0,01;0;0;0;0;0,01;0;0;0;0;0;0,01;0,01;0;0,01;0;0,01;0,01;0;0;0;0;0;0;0;0,01;0,01;0;0;0,01;0,01;0;0;0;;0,14;0,0009
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;154,62;1,0000
