TI3;"Dolph""""";"PelCoasPisc""""";"Jmack""""";"SardHerr""""";"PelOcePlank""""";"DemCoasOmn""""";"BentCoasInv""""";"SurfPela""""";"StrAssCoasOmn""""";"NeaAssPisc""""";"Mull""""";"NeaPlank""""";"Ofish""""";"Squid""""";"Lobs""""";"Lcrab""""";"Octo""""";"EchinoLGastro""""";"Bivalv""""";"CarnZoopl""""";"Bird""""";"DemCoasPisc""""";"DemCoasInv""""";"Turtle""""";"SessEpiBenth""""";"CarnJelly""""";"MicroAlga""""";"MicroPhytoBenth""""";"Mana""""";"LgOcePisc""""";"CostSha""""";"RaySkate""""";"PelOcePisc""""";"Amack""""";"PelOceJelly""""";"BentCoasPisc""""";"StrAssCoasPisc""""";"LgGroup""""";"StrAssCoasInv""""";"Ashri""""";"LgOcePlank""""";"Scopep""""";"OMesoZoopl""""";"Grass""""";"BentOceInv""""";"SInFau""""";"SMobEpiFau""""";"Stoma""""";"IchthyoPl""""";"DemOceInv""""";"MeioFau""""";"BentOcePisc""""";"StrAssCoasPlank""""";"Phyto""""";"MicroHetero""""";;SUM;
"Dolph""""";0,02;0,02;0,04;0,02;0,03;0,02;0,02;0,04;0,03;0,03;0,04;0,03;0,02;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,93;
"PelCoasPisc""""";0,04;0,03;0,05;0,03;0,04;0,03;0,03;0,05;0,03;0,04;0,05;0,03;0,03;0,03;0,02;0,03;0,02;0,02;0,01;0,03;0,02;0,02;0,03;0,01;0,01;0,02;0,02;0,01;0,01;0,04;0,03;0,02;0,02;0,04;0,05;0,02;0,03;0,03;0,03;0,03;0,05;0,02;0,03;0,02;0,03;0,03;0,03;0,03;0,02;0,05;0,01;0,02;0,02;0,02;0,01;;1,51;
"Jmack""""";0,03;0,02;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0;0,01;0,01;0;0,01;0,01;0,01;0,01;0,02;0;0;0;0;0;0;0,02;0,02;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0;0;0;;0,55;
"SardHerr""""";0,03;0,03;0,05;0,02;0,04;0,02;0,02;0,02;0,02;0,04;0,02;0,02;0,03;0,03;0,02;0,03;0,02;0,02;0,01;0,03;0,06;0,04;0,03;0,02;0,03;0,02;0,04;0,03;0,03;0,03;0,03;0,01;0,05;0,04;0,06;0,02;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,05;0,02;0,03;0,03;0,01;0,02;0,02;0,04;0,02;0,02;0,01;0,01;;1,49;
"PelOcePlank""""";0,03;0,03;0,05;0,03;0,03;0,01;0,01;0,02;0,01;0,02;0,01;0,03;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,03;0,05;0,01;0,01;0;0,01;0,02;0,01;0,01;0;0,03;0,03;0,01;0,05;0,04;0,05;0,01;0,02;0,02;0,01;0,02;0,06;0,03;0,03;0,05;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;;1,12;
"DemCoasOmn""""";0,03;0,02;0,01;0,02;0,01;0,02;0,02;0,01;0,02;0,03;0,02;0,02;0,02;0,01;0,02;0,03;0,02;0,03;0,01;0,03;0,05;0,03;0,03;0,02;0,03;0,01;0,04;0,03;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,02;0,02;0,03;0,01;0,03;0,03;0,01;0,02;0,03;0,02;0,03;0,01;0,02;0,04;0,02;0,02;0,01;0,02;;1,19;
"BentCoasInv""""";0,03;0,03;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,04;0,02;0,03;0,02;0,02;0,02;0,03;0,04;0,03;0,04;0,03;0,05;0,04;0,03;0,02;0,03;0,01;0,01;0,03;0;0,03;0,03;0,04;0,01;0,02;0,01;0,03;0,03;0,03;0,03;0,03;0,01;0,01;0,01;0,01;0,02;0,03;0,02;0,03;0,01;0,02;0,02;0,04;0,01;0,01;0,01;;1,25;
"SurfPela""""";0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0;0;0;0;0;0;0,02;0,01;0,01;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,05;0,01;0,02;0,02;0;0;0,01;0;0,01;0,01;0,01;0;;0,52;
"StrAssCoasOmn""""";0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,02;0,01;0,03;0,01;0,01;0,02;0,01;0,02;0,01;0,03;0,02;0,01;0,02;0,01;0,04;0,01;0,03;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,02;0,05;0,01;0,02;0,02;0,01;0,01;0,04;0,01;0,01;0,02;0,01;0,01;;1,01;
"NeaAssPisc""""";0,03;0,02;0,01;0,02;0,01;0,02;0,02;0,01;0,01;0,02;0,04;0,03;0,02;0,02;0,01;0,02;0,01;0,01;0,01;0,02;0,05;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;;0,85;
"Mull""""";0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,05;0,01;0,01;0,01;0,01;0;0,03;0,02;0,03;0,01;0,01;0,01;0,01;0,03;0;0;0,01;0,02;0,01;0,01;0;0,01;0,01;0;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0;0,01;0,03;0,01;;0,59;
"NeaPlank""""";0,03;0,03;0,05;0,02;0,03;0,02;0,03;0,05;0,01;0,04;0,02;0,02;0,02;0,03;0,01;0,01;0,02;0,01;0,01;0,03;0,06;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0;0,02;0,03;0,03;0,02;0,04;0,01;0,03;0,03;0,02;0,02;0,03;0,02;0,03;0,03;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,03;0,01;0,01;0,04;0,01;;1,21;
"Ofish""""";0,04;0,03;0,02;0,03;0,04;0,03;0,03;0,05;0,04;0,04;0,02;0,02;0,03;0,03;0,04;0,03;0,02;0,03;0,03;0,03;0,02;0,04;0,03;0,02;0,03;0,02;0,04;0,02;0,03;0,04;0,03;0,04;0,05;0,04;0,02;0,03;0,03;0,03;0,03;0,02;0,02;0,04;0,04;0,06;0,02;0,02;0,03;0,02;0,04;0,02;0,02;0,04;0,05;0,02;0,02;;1,73;
"Squid""""";0,03;0,03;0,05;0,03;0,04;0,02;0,02;0,02;0,02;0,04;0,02;0,03;0,03;0,03;0,01;0,02;0,02;0,01;0,01;0,04;0,02;0,04;0,03;0,01;0,02;0,06;0,01;0,02;0;0,04;0,03;0,03;0,05;0,04;0,06;0,03;0,03;0,03;0,03;0,03;0,06;0,04;0,03;0,02;0,02;0,03;0,02;0,03;0,05;0,01;0,03;0,02;0,02;0,02;0,02;;1,53;
"Lobs""""";0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,04;0,01;0,02;0,01;0,02;0,02;0,01;0,02;0,03;0,01;0,01;0,01;0,02;0,02;0,02;0,01;0,04;0,01;0,03;0,01;0,01;0,03;0,01;0,01;0;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,03;;0,88;
"Lcrab""""";0,03;0,03;0,02;0,03;0,01;0,03;0,03;0,02;0,02;0,04;0,02;0,02;0,03;0,02;0,04;0,03;0,04;0,03;0,04;0,01;0,02;0,02;0,03;0,08;0,03;0,02;0,02;0,04;0,01;0,03;0,03;0,04;0,01;0,01;0,01;0,04;0,03;0,03;0,03;0,03;0,01;0,01;0,01;0,01;0,04;0,03;0,03;0,04;0,01;0,05;0,04;0,05;0,02;0,02;0,04;;1,49;
"Octo""""";0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,03;0,01;0,01;0,03;0,02;0,01;0,02;0;0,01;0,01;0;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,01;0;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;;0,76;
"EchinoLGastro""""";0,03;0,02;0,01;0,02;0,01;0,03;0,03;0,02;0,04;0,02;0,02;0,02;0,03;0,01;0,04;0,03;0,04;0,03;0,04;0,02;0,01;0,02;0,03;0,02;0,03;0,02;0,04;0,03;0,03;0,02;0,03;0,04;0,01;0,01;0,01;0,03;0,03;0,03;0,03;0,03;0,05;0,02;0,02;0,06;0,04;0,03;0,03;0,04;0,02;0,05;0,04;0,02;0,05;0,04;0,04;;1,54;
"Bivalv""""";0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,03;0,03;0,03;0,03;0,02;0,01;0,01;0,01;0,02;0,07;0,02;0,01;0,01;0,03;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,03;0,01;0,01;0,03;0,01;0,01;0,04;0,04;;0,95;
"CarnZoopl""""";0,03;0,03;0,02;0,03;0,03;0,03;0,02;0,01;0,03;0,03;0,01;0,03;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,03;0,02;0,01;0,02;0,06;0,01;0,01;0,01;0,02;0,01;0,01;0,04;0,02;0,06;0,03;0,02;0,01;0,02;0,01;0,06;0,04;0,04;0,02;0,03;0,01;0,01;0,01;0,05;0,01;0,01;0,01;0,04;0,05;0,04;;1,34;
"Bird""""";0,01;0,01;0,01;0,02;0,02;0,02;0,02;0;0;0,03;0,04;0,02;0,01;0,01;0;0;0;0;0;0,01;0,02;0,03;0,01;0;0;0;0,01;0,01;0;0,01;0,01;0;0;0,01;0;0;0;0,01;0;0,01;0;0,01;0,01;0;0;0;0,01;0;0;0;0,01;0;0;0,01;0;;0,44;
"DemCoasPisc""""";0,01;0,01;0,01;0,02;0,01;0,02;0,02;0,01;0,02;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,03;0,01;0,01;0,02;0,05;0,02;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;;0,85;
"DemCoasInv""""";0,02;0,03;0,05;0,03;0,02;0,04;0,04;0,02;0,04;0,04;0,02;0,04;0,03;0,03;0,04;0,03;0,04;0,03;0,04;0,03;0,06;0,04;0,03;0,02;0,03;0,02;0,04;0,04;0,03;0,04;0,03;0,02;0,02;0,04;0,02;0,04;0,03;0,03;0,03;0,03;0,02;0,04;0,03;0,02;0,02;0,03;0,03;0,04;0,04;0,02;0,04;0,02;0,02;0,02;0,02;;1,73;
"Turtle""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0;0;0,02;0;0;0;0;0,02;0,02;0,04;0,03;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0;0;0;0;0;0,01;0;0;0,01;0;0;0;0,01;;0,35;
"SessEpiBenth""""";0,01;0,01;0,01;0,02;0,01;0,03;0,03;0,01;0,03;0,01;0,02;0,01;0,02;0,01;0,04;0,03;0,04;0,03;0,02;0,02;0,01;0,02;0,03;0,08;0,03;0,06;0,02;0,04;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,02;0,03;0,03;0,03;0,02;0,04;0,03;0,01;0,03;0,03;0,03;0,02;0,04;0,04;0,04;0,02;0,05;0,05;0,05;;1,42;
"CarnJelly""""";0;0,01;0;0,01;0,01;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0,01;0,02;0;0;0;0,06;0,02;0,03;0,01;0,01;0;0;0;0;0,01;0;0,04;0;0;0;0;0;0,05;0,03;0,02;0,01;0;0;0;0;0,01;0;0,01;0;0,01;0,01;0,03;;0,53;
"MicroAlga""""";0,01;0,01;0;0,02;0,01;0,02;0,01;0,01;0,02;0,01;0,04;0;0,02;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,07;0,01;0,01;0,04;0,01;0,37;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,02;0;0,01;0,01;0,01;0,03;0,01;0,02;0,03;0;0,01;0,01;0,01;0,01;0,01;0,01;;1,06;
"MicroPhytoBenth""""";0,01;0,01;0,01;0,02;0,01;0,03;0,02;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,02;0,03;0,02;0,02;0,04;0,01;0,02;0,03;0,02;0,07;0,03;0,02;0,02;0,02;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,03;0,03;0,01;0,01;0,03;0,02;0,03;0,04;0,01;0,04;0,01;0,01;0,02;0,04;;1,1;
"Mana""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,08;
