TI3;"PrimProd""""";"MicroZoopl""""";"MesoZoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scalo""""";"Lobs""""";"Ogado""""";"Cepha""""";"SMDem""""";"Sgado""""";"Lemsole""""";"Awhit""""";"Herr""""";"Sprat""""";"Pil""""";"Mack""""";"Scad""""";"MacroZoopl""""";"Acod""""";"Ray""""";"Sande""""";"BaskSha""""";"Bird""""";"DepoFeed""""";"Whelk""""";"RedMull""""";"Jsole""""";"Asole""""";"Jplai""""";"Aplai""""";"Dab""""";"LFlatFish""""";"Gurna""""";"Jwhit""""";"Jcod""""";"DogFish""""";"Bream""""";"Bass""""";"SMCrab""""";"Lcrab""""";"Lbott""""";"JohnDo""""";"AngFish""""";"Seal""""";"Hake""""";"ToothCet""""";"Sha""""";;SUM
"PrimProd""""";0,06;0,04;0,03;0,04;0,02;0,04;0,03;0,39;0,07;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;1,13
"MicroZoopl""""";0,05;0,03;0,04;0,04;0,02;0,01;0,01;0,04;0,02;0,02;0,01;0,02;0,03;0,04;0,04;0,05;0,04;0,05;0,03;0,03;0,02;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,02;0,02;0,01;;1,02
"MesoZoopl""""";0,06;0,06;0,04;0,05;0,03;0,02;0,01;0,04;0,02;0,04;0,02;0,03;0,04;0,05;0,05;0,05;0,05;0,06;0,05;0,04;0,1;0,04;0,05;0,05;0,2;0,07;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,02;0,02;0,01;0,01;0,02;0,02;0,03;0,03;0,02;0,02;0,03;0,05;0,01;;1,75
"SuspFeed""""";0,06;0,04;0,03;0,04;0,01;0,04;0,02;0,05;0,07;0,03;0,01;0,03;0,01;0,04;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,02;0,07;0,1;0,02;0,02;0,05;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;1,2
"ShriPrawn""""";0,06;0,05;0,04;0,03;0,04;0,04;0,04;0,04;0,03;0,04;0,03;0,05;0,04;0,02;0,05;0,03;0,02;0,03;0,04;0,04;0,03;0,03;0,06;0,03;0,02;0,03;0,04;0,09;0,08;0,03;0,03;0,07;0,09;0,06;0,07;0,06;0,06;0,06;0,05;0,08;0,1;0,05;0,1;0,05;0,08;0,03;0,03;0,03;0,02;0,02;;2,34
"Echino""""";0,06;0,02;0,01;0,05;0,02;0,04;0,04;0,04;0,08;0,03;0,02;0,03;0,03;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0;0,01;0,03;0,08;0,07;0,02;0,03;0,07;0,09;0,02;0,01;0,01;0,01;0,01;0,04;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,02;0,01;0;0,01;;1,29
"Bivalv""""";0,06;0,02;0,01;0,04;0,03;0,06;0,05;0,04;0,08;0,03;0,02;0,04;0,03;0,04;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,06;0,02;0,01;0,02;0,03;0,09;0,08;0,09;0,12;0,08;0,1;0,06;0,02;0,06;0,02;0,05;0,05;0,08;0,1;0,05;0,1;0,02;0,01;0,02;0,02;0,01;0,01;0,02;;2,04
"Scalo""""";0,04;0;0;0;0;0;0;0,03;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,12
"Lobs""""";0,05;0,01;0,01;0,04;0,01;0,04;0,03;0,04;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0;0;0;0;0;0;0,01;0,01;0;0;0;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0;0;0,01;0;0;0;0;;0,56
"Ogado""""";0,06;0,03;0,04;0,05;0,03;0,04;0,03;0,04;0,02;0,03;0,04;0,02;0,04;0,03;0,05;0,05;0,05;0,03;0,02;0,04;0,02;0,04;0,02;0,05;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,04;0,02;0,02;0,03;0,02;0,05;0,08;0,02;0,05;0,07;0,02;0,02;;1,64
"Cepha""""";0,05;0,02;0,02;0,03;0,03;0,03;0,03;0,03;0,02;0,04;0,05;0,04;0,04;0,02;0,05;0,06;0,02;0,02;0,05;0,04;0,02;0,05;0,05;0,05;0,04;0,02;0,04;0,02;0,07;0,08;0,02;0,07;0,02;0,07;0,03;0,06;0,03;0,03;0,04;0,09;0,02;0,04;0,03;0,05;0,02;0,06;0,06;0,03;0,08;0,37;;2,37
"SMDem""""";0,03;0,05;0,04;0,05;0,04;0,05;0,04;0,02;0,08;0,03;0,04;0,04;0,04;0,03;0,02;0,03;0,03;0,03;0,03;0,05;0,09;0,04;0,05;0,03;0,02;0,02;0,04;0,03;0,08;0,03;0,03;0,03;0,03;0,03;0,07;0,06;0,03;0,06;0,04;0,02;0,1;0,04;0,03;0,05;0,08;0,06;0,06;0,02;0,02;0,02;;2,06
"Sgado""""";0,02;0,05;0,04;0,02;0,03;0,04;0,03;0,01;0,02;0,04;0,04;0,04;0,03;0,03;0,05;0,03;0,05;0,03;0,05;0,04;0,03;0,05;0,05;0,05;0,02;0,03;0,03;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,03;0,06;0,02;0,04;0,02;0,02;0,03;0,03;0,05;0,03;0,05;0,03;0,07;0,02;0,02;;1,64
"Lemsole""""";0,02;0,04;0,03;0,04;0,01;0,03;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,03;0,05;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,02;0,02;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,02;0,04;0,05;0,01;0,01;0;;0,93
"Awhit""""";0,02;0,04;0,03;0,04;0,03;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,03;0,02;0,03;0,05;0,04;0,01;0,02;0,02;0,02;0,04;0,01;0,04;0,02;0,02;0,02;0,01;0,01;0,02;0,02;0,01;0,01;0,02;0,02;0,01;0,05;0,01;0,02;0,01;0,01;0,03;0,01;0,02;0,01;0,02;0,01;0,02;0,01;0,02;;1,02
"Herr""""";0,01;0,04;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,04;0,03;0,02;0,02;0,03;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,06;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,04;0,02;0,04;0,02;0,01;0,01;0,02;;0,84
"Sprat""""";0,01;0,05;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,02;0,03;0,05;0,04;0,03;0,04;0,03;0,04;0,04;0,09;0,04;0,01;0,02;0,04;0,06;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,06;0,01;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,04;0,02;0,02;0,02;0,07;0,07;0,01;;1,32
"Pil""""";0,01;0,04;0,03;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,02;0,04;0,02;0,03;0,02;0,01;0,01;0,01;0,04;0,05;0,01;0,01;0;0,01;0;0,01;0;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0;0,01;0,01;0,04;0,07;0,01;0,01;0,06;0,07;0;;0,87
"Mack""""";0,01;0,05;0,04;0,01;0,03;0,01;0,01;0,01;0,01;0,02;0,03;0,02;0,04;0,02;0,02;0,05;0,05;0,03;0,04;0,03;0,09;0,04;0,05;0,04;0,04;0,07;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,01;0,03;0,02;0,02;0,01;0,05;0,05;0,07;0,07;0,02;;1,46
"Scad""""";0,02;0,05;0,04;0,01;0,03;0,01;0,01;0,01;0,01;0,04;0,03;0,04;0,04;0,02;0,02;0,05;0,05;0,07;0,03;0,04;0,09;0,02;0,02;0,04;0,04;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,03;0,06;0,05;0,05;0,02;0,02;0,02;0,02;0,01;0,03;0,09;0,02;0,05;0,08;0,08;0,02;;1,65
"MacroZoopl""""";0;0,01;0,02;0;0;0;0;0;0;0,01;0;0,02;0,01;0,01;0,01;0,01;0,03;0,01;0,03;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0,01;0,01;0;0,01;0;0;0;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0;;0,36
"Acod""""";0,01;0,02;0,03;0,02;0,02;0,01;0,01;0;0,01;0,03;0,03;0,03;0,03;0,01;0,04;0,02;0,04;0,01;0,03;0,02;0,02;0,03;0,02;0,04;0,02;0,02;0,03;0,01;0,01;0,02;0,01;0,06;0,01;0,05;0,02;0,02;0,05;0,05;0,02;0,01;0,02;0,03;0,01;0,02;0,01;0,02;0,02;0,02;0,01;0,02;;1,12
"Ray""""";0,01;0,01;0,03;0,01;0,03;0,04;0,03;0,01;0,02;0,01;0,02;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,03;0,08;0,01;0,01;0,01;0,01;0,01;0,01;0,02;;0,91
"Sande""""";0,01;0,02;0,04;0,01;0,02;0,01;0,01;0;0,01;0,03;0,03;0,02;0,03;0,05;0,04;0,02;0,02;0,02;0,04;0,03;0,02;0,04;0,04;0,03;0,02;0,06;0,03;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,05;0,03;0,01;0,01;0,02;0,02;0,04;0,02;0,02;0,05;0,02;0,02;0,02;;1,2
"BaskSha""""";0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0;0;0,01;0;0;0;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0,06;0;;0,2
"Bird""""";0;0,01;0,03;0,01;0,01;0;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,04;0,03;0,01;0,02;0,01;0,01;0,03;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;;0,6
"DepoFeed""""";0,03;0,03;0,03;0,06;0,05;0,06;0,05;0,01;0,08;0,04;0,05;0,05;0,04;0,05;0,05;0,03;0,03;0,02;0,04;0,04;0,02;0,06;0,06;0,05;0,01;0,07;0,05;0,09;0,08;0,09;0,12;0,09;0,1;0,07;0,07;0,07;0,07;0,07;0,05;0,09;0,1;0,04;0,03;0,02;0,02;0,03;0,03;0,03;0,02;0,03;;2,6
"Whelk""""";0,01;0;0;0,01;0,02;0,03;0,02;0;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0;0;0,01;0,01;0;0;0;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0;0;0;0;0;0;0;;0,43
"RedMull""""";0,01;0;0;0,01;0,02;0,03;0,03;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0;0;0;0,01;0,01;0;0,01;0,01;0,01;0;0;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0;0;0,01;;0,51
"Jsole""""";0,01;0;0;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0,01;0,01;0,01;0;0;0,02;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0;0;0,01;0;0;0;0,01;;0,44
"Asole""""";0,01;0;0;0,03;0;0,01;0,02;0;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0;0,01;0;0;0,01;0,01;0,01;0,02;0,01;0;0;0;0;0;0;0;;0,3
"Jplai""""";0,01;0;0;0,01;0,02;0,03;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0;0;0,03;0,01;0,01;0;0;0,02;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0;0;0,02;;0,51
"Aplai""""";0,01;0;0;0,01;0,02;0,03;0,02;0;0,01;0,01;0;0,01;0;0,01;0;0;0;0;0;0;0;0;0,01;0,01;0;0;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,04;0;0;0;;0,38
"Dab""""";0,01;0,01;0,01;0,03;0,02;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0;0,03;0,01;0,01;0;0,01;0,02;0,01;0,01;0,02;0,02;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,04;0,01;0;0,01;0,02;;0,66
"LFlatFish""""";0;0,01;0,01;0,01;0,02;0,01;0,01;0;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,04;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0;;0,51
"Gurna""""";0,01;0,01;0,01;0,01;0,02;0,01;0,03;0;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,05;0,04;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,06;0,01;0,02;;0,76
"Jwhit""""";0,01;0,01;0,01;0,01;0,02;0,01;0,01;0;0,01;0,01;0,01;0,01;0,03;0,01;0,04;0,01;0,01;0,01;0,01;0,03;0,01;0,03;0,01;0,01;0;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,05;0,02;0,02;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;;0,72
"Jcod""""";0,01;0,01;0,01;0,01;0,02;0,01;0,03;0;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,03;0,01;0,03;0;0,06;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,05;0,02;0,03;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;;0,82
"DogFish""""";0,02;0,02;0,02;0,05;0,04;0,05;0,04;0,01;0,03;0,04;0,04;0,03;0,04;0,02;0,02;0,05;0,04;0,05;0,02;0,02;0,01;0,02;0,03;0,04;0,01;0,02;0,04;0,08;0,03;0,08;0,03;0,07;0,02;0,06;0,02;0,02;0,05;0,02;0,04;0,02;0,02;0,04;0,09;0,02;0,02;0,02;0,02;0,02;0,02;0,02;;1,63
"Bream""""";0,01;0;0;0;0,02;0,01;0,02;0;0,01;0,01;0,02;0,01;0,01;0;0,01;0;0,01;0,01;0,01;0,01;0;0,01;0,01;0;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0;0;0,06;0,02;;0,49
"Bass""""";0;0;0;0,01;0,02;0,01;0,02;0;0,01;0;0;0,02;0;0;0;0;0;0;0;0;0;0,01;0,01;0;0;0;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0;0,01;0;0;0;0;0;;0,35
"SMCrab""""";0,02;0,02;0,02;0,03;0,05;0,03;0,06;0,01;0,07;0,04;0,04;0,05;0,04;0,02;0,05;0,03;0,02;0,02;0,04;0,02;0,02;0,05;0,06;0,03;0,01;0,06;0,04;0,09;0,08;0,09;0,12;0,03;0,03;0,07;0,07;0,07;0,07;0,06;0,05;0,09;0,1;0,05;0,1;0,05;0,02;0,06;0,03;0,02;0,02;0,03;;2,35
"Lcrab""""";0;0;0;0;0,02;0,01;0,02;0;0,01;0;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0;0,04;0;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0;0;0;0;0;0;0;;0,36
"Lbott""""";0,01;0,02;0,02;0,01;0,02;0,01;0,01;0;0,01;0,03;0,03;0,03;0,03;0,04;0,02;0,04;0,04;0,05;0,02;0,02;0,01;0,01;0,01;0,04;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,03;0,08;0,02;0,05;0,02;0,02;0,02;;1
"JohnDo""""";0,01;0,01;0,01;0;0,02;0;0;0;0;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,04;0;0,03;0,01;0;0;0,01;0,01;0,01;0;0;0,01;0;0;0;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,04;0,02;0;0,01;0,01;0,01;0;;0,45
"AngFish""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,03;0,02;0,03;0,04;0,01;0,04;0,01;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,05;0,02;0,02;0,05;0,04;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,03;0,05;0,01;0,01;0,02;;0,84
"Seal""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,03;0,03;0,03;0,01;0,04;0,01;0,02;0,01;0,01;0,03;0,03;0,02;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,08;0,01;0,06;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,02;0,05;0,03;0,01;0,01;0,02;;0,88
"Hake""""";0;0,01;0,01;0;0,01;0;0;0;0;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,03;0,04;0,03;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0;0;0,01;0,04;0,01;0,01;0,01;0;0;0,01;0;0,01;0,01;0,01;0,01;0,02;0,02;0;;0,53
"ToothCet""""";0;0,01;0,02;0;0,01;0;0;0;0;0,01;0,02;0;0,01;0,01;0,01;0,01;0,03;0,05;0,03;0,03;0,02;0,01;0,01;0,01;0,2;0,01;0,01;0;0;0;0;0;0;0;0,01;0,01;0;0,01;0,01;0,07;0;0,01;0;0,01;0,01;0,01;0,01;0,02;0,05;0,02;;0,74
"Sha""""";0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;;0,08
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"PrimProd""""";"MicroZoopl""""";"MesoZoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scalo""""";"Lobs""""";"Ogado""""";"Cepha""""";"SMDem""""";"Sgado""""";"Lemsole""""";"Awhit""""";"Herr""""";"Sprat""""";"Pil""""";"Mack""""";"Scad""""";"MacroZoopl""""";"Acod""""";"Ray""""";"Sande""""";"BaskSha""""";"Bird""""";"DepoFeed""""";"Whelk""""";"RedMull""""";"Jsole""""";"Asole""""";"Jplai""""";"Aplai""""";"Dab""""";"LFlatFish""""";"Gurna""""";"Jwhit""""";"Jcod""""";"DogFish""""";"Bream""""";"Bass""""";"SMCrab""""";"Lcrab""""";"Lbott""""";"JohnDo""""";"AngFish""""";"Seal""""";"Hake""""";"ToothCet""""";"Sha""""";;SUM
"PrimProd""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MicroZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MesoZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SuspFeed""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ShriPrawn""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Echino""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bivalv""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
