TI3;"Mojar""""";"Snoo""""";"Jack""""";"Mollu""""";"Zoopl""""";"MeioFau""""";"Crus""""";"BenthProd""""";"WhMull""""";"PortCrab""""";"CatFish""""";"Croak""""";"Goby""""";"Anch""""";"Snap""""";"Oyst""""";"Shri""""";"Phyto""""";"BayWhi""""";"SpaFish""""";"Shhep""""";"ToFish""""";;SUM;;
"Anch""""";0,04;0,07;0,09;0,03;0,1;0,03;0,03;0,02;0,01;0,03;0,06;0,07;0,06;0,06;0,08;0,03;0,04;0,11;0,09;0;0,02;0,02;;1,07;;0,07
"BayWhi""""";0,03;0,03;0,04;0,02;0,08;0,05;0,05;0,02;0,01;0,02;0,03;0,06;0,05;0,07;0,03;0,01;0,06;0,02;0,04;0,01;0,02;0,02;;0,78;;
"BenthProd""""";0,09;0,04;0,03;0,08;0,03;0,07;0,07;0,08;0,04;0,06;0,06;0,03;0,06;0,02;0,03;0,03;0,07;0,03;0,03;0,4;0,14;0,03;;1,53;;
"CatFish""""";0,04;0,08;0,04;0,09;0,05;0,08;0,07;0,08;0,06;0,08;0,06;0,08;0,07;0,09;0,1;0,14;0,08;0,12;0,05;0,05;0,05;0,07;;1,63;;
"Croak""""";0,04;0,04;0,09;0,07;0,04;0,07;0,07;0,04;0,05;0,07;0,07;0,05;0,07;0,08;0,1;0,03;0,08;0,04;0,09;0,02;0,04;0,03;;1,28;;
"Crus""""";0,09;0,08;0,09;0,05;0,04;0,05;0,06;0,08;0,05;0,08;0,06;0,07;0,07;0,04;0,04;0,05;0,08;0,03;0,09;0,06;0,13;0,16;;1,56;;
"Goby""""";0,06;0,09;0,1;0,08;0,1;0,08;0,08;0,08;0,05;0,07;0,08;0,09;0,06;0,1;0,1;0,04;0,09;0,05;0,11;0,05;0,05;0,04;;1,66;;
"Jack""""";0,08;0,04;0,05;0,02;0,08;0,03;0,05;0,02;0,01;0,02;0,02;0,06;0,05;0,07;0,03;0,01;0,05;0,03;0,04;0,01;0,02;0,02;;0,80;;
"MeioFau""""";0,08;0,08;0,04;0,05;0,04;0,06;0,05;0,08;0,04;0,07;0,07;0,07;0,07;0,04;0,09;0,03;0,08;0,03;0,09;0,06;0,12;0,03;;1,34;;
"Mojar""""";0,05;0,07;0,08;0,06;0,08;0,05;0,05;0,06;0,01;0,02;0,02;0,02;0,03;0,03;0,02;0,01;0,03;0,03;0,03;0,04;0,04;0,02;;0,85;;
"Mollu""""";0,08;0,07;0,03;0,05;0,04;0,04;0,04;0,07;0,04;0,06;0,06;0,06;0,05;0,03;0,03;0,04;0,03;0,1;0,03;0,05;0,12;0,03;;1,16;;
"Oyst""""";0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,04;0,05;0,04;0,01;0,01;0,01;0,01;0,07;0,01;0,09;0,01;0,01;0,01;0,15;;0,62;;
"Phyto""""";0,02;0,02;0,02;0,05;0,07;0,01;0,01;0,01;0,01;0,02;0,05;0,02;0,02;0,06;0,02;0,11;0,01;0,05;0,02;0,01;0,01;0,03;;0,67;;
"PortCrab""""";0,03;0,04;0,03;0,08;0,02;0,07;0,08;0,08;0,4;0,09;0,08;0,07;0,06;0,03;0,09;0,16;0,07;0,05;0,04;0,05;0,05;0,19;;1,86;;
"Shhep""""";0,02;0,02;0,01;0,05;0,01;0,05;0,04;0,06;0,01;0,02;0,02;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,04;0,04;0,01;;0,49;;
"Shri""""";0,04;0,07;0,09;0,04;0,04;0,08;0,07;0,07;0,05;0,07;0,07;0,08;0,07;0,05;0,09;0,03;0,05;0,03;0,09;0,05;0,04;0,04;;1,29;;
"Snap""""";0,02;0,03;0,03;0,02;0,02;0,06;0,02;0,02;0,04;0,05;0,05;0,06;0,05;0,06;0,04;0,03;0,06;0,02;0,03;0,01;0,02;0,02;;0,79;;
"Snoo""""";0,09;0,05;0,05;0,07;0,09;0,06;0,06;0,04;0,01;0,03;0,06;0,04;0,06;0,07;0,03;0,02;0,06;0,04;0,04;0,02;0,04;0,02;;1,04;;
"SpaFish""""";0,01;0;0;0,01;0;0,01;0;0,04;0;0;0;0;0;0;0;0;0;0;0;0,03;0,01;0;;0,14;;
"ToFish""""";0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,04;0,05;0,02;0,01;0,01;0,01;0,01;0,11;0,01;0,02;0,01;0,01;0,01;0,05;;0,44;;
"WhMull""""";0;0;0;0;0;0;0;0;0,03;0,03;0;0;0;0;0,01;0,01;0;0;0;0;0;0,01;;0,14;;
"Zoopl""""";0,08;0,07;0,08;0,03;0,06;0,02;0,03;0,02;0;0,01;0,03;0,03;0,05;0,08;0,02;0,02;0,03;0,1;0,08;0,01;0,01;0,01;;0,86;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Mojar""""";"Snoo""""";"Jack""""";"Mollu""""";"Zoopl""""";"MeioFau""""";"Crus""""";"BenthProd""""";"WhMull""""";"PortCrab""""";"CatFish""""";"Croak""""";"Goby""""";"Anch""""";"Snap""""";"Oyst""""";"Shri""""";"Phyto""""";"BayWhi""""";"SpaFish""""";"Shhep""""";"ToFish""""";;SUM;;
"Anch""""";4612599,57;1998330,86;124448,03;152088808;1556312472;10239733,5;647449,77;7941867,96;1317,67;156525,41;1637440,31;142692,3;2010379,82;18773245,74;101912,32;870138821,3;826980,31;168370619,3;209644,72;1435167,22;342705,86;48514,5;;2798161676,89;;27764743,89
"BayWhi""""";9213189,71;145589,77;17121,51;1390661,59;9361180,25;17633751,75;2101574,65;8215327,23;1863,8;47935,17;182801,7;150207,26;1173928,83;163057;18639,5;5144225,74;1553874,81;1456358,93;50237,68;9266472,12;790243,21;20550,03;;68098792,25;;27764743,89
"BenthProd""""";3731830438;38653311,21;7201754,92;304142374,1;122272128,8;10211616611;1093730421;2528014717;167212,17;7376034,63;52288781,77;26834766,66;520145311,7;8824297,74;5280432,55;18258509,03;394383549;91766494,93;11736181,75;5177616106;385628270,7;436020,14;;24738203725,36;;
"CatFish""""";77503547,35;1283199,13;169637,13;8132627,38;25204001,96;190715422,2;20233023,4;67975416,3;6139,67;253717,49;1265221,86;839164,17;10439234,26;2365191,57;135747,11;13056611,24;9819996,29;35957423,12;339488,87;91821993,78;7144143,92;54740,79;;564715688,95;;
"Croak""""";50050615,98;731603,13;131528,14;4849329,4;2319486,55;161037113,9;17868517,33;29518243,32;7311,46;153742,7;710061,99;371117,9;7571756,16;174401,7;102913,41;466231,3;5295043,89;1509098,59;236039,98;80375960,7;5963156,73;41515,18;;369484789,41;;
"Crus""""";808903213,4;8705442,25;718369,75;10803032,22;7849736,21;214230240,5;11497369,44;1312476506;20784,96;3928696,3;18676636,98;19492928;64403871,54;863266,36;1182963,61;90143,41;172041942,3;10310258,01;3602699,41;29963349,72;17736774,63;1169809,26;;2718668033,83;;
"Goby""""";566178479,6;6564197,29;878977,81;59618815,5;356333599,9;773239412,8;75137850,13;728203436,3;15086,85;2003357,17;11242252,28;9636780,56;58952444,03;3127257,49;904705,09;193414867,5;93434639,96;11459846,66;2347857,67;334779550,6;30880771,04;399863,64;;3318754050,05;;
"Jack""""";4439219,6;56177,5;1811,86;250393,92;1905245,54;2964725,47;419049,02;5041228,44;458,72;16570,7;91343,07;83699,72;439488,9;96792,91;6929,44;1061515,58;780164,62;1291165,04;17121,51;1887101,62;198845,83;3922,66;;21052971,67;;
"MeioFau""""";7413728861;71608453,91;4658854,31;100595825;55248288,5;2516081093;196377720,5;11232778272;34391,44;28525325,62;161374588;161037113,9;607545253;12515229,83;10079168,56;291522,23;1439064392;200244502,2;27710181,33;835004432,9;181684527,5;5602233,41;;25261790229,73;;
"Mojar""""";2403392455;26750188,7;4439219,6;173668783,4;286114576,9;4717827457;471860207,8;2612281307;58052,31;7174674,9;41732679,34;31850391,99;283089239,8;3587577,45;3652992,34;129186929,6;342687149,4;7713829,86;9213189,71;2171263148;177188583,6;1205418,25;;13905938051,30;;
"Mollu""""";223288435,7;23962264,88;321935,04;2676946,86;2732601,25;82305675,01;8102274,16;273728136,7;760,44;2695006,58;5630280,49;3967633,14;38326381,39;152088808;251124,02;323873,52;35727772,4;2712802939;1787993,47;39607928,84;8984035,61;807501,28;;3620120308,31;;
"Oyst""""";73821102,6;56756325,59;606580,33;143943,79;4367272,35;106008,08;30047,8;7303403,61;497,15;5198097,93;4017418,84;169538,66;55261390,72;386728365;21897,19;794090,61;64352,99;6898502842;2939557,56;31651,52;8141531,58;1802153,81;;7506808070,19;;
"Phyto""""";5509878,47;5004161,7;922260,74;1507112744;15400382239;91020228,27;4295940,84;45883247,46;83983,92;193064,4;13829778,12;685953,91;4092802,38;93539232,96;789286,47;8623128553;3047383,49;23510977,34;1040256,38;9067128,51;658204,47;110920,61;;25833908226,92;;
"PortCrab""""";12299442,68;238401,3;28406,91;3593342,11;27928431,55;31118537,04;3928696,3;8851241,56;7129,27;59040,95;234200,76;167719,31;1717163,29;208700,55;37051,45;15594293,79;1668247,12;463354,55;82174,59;16015885,69;1252787,32;23934,32;;125518182,41;;
"Shhep""""";101250619,2;1179719,61;113626,19;3992904,72;15755798,64;66067100,93;5912258,21;154251308,3;3615,23;417595,77;2198198,13;2168420,63;8823077,44;152313,71;170069,33;8141531,58;19226424,55;526563,58;451567,55;22107152,24;3171435,43;88507,25;;416169808,19;;
"Shri""""";538508377,7;7546804,95;1225972,97;43667277,38;14746157,82;1439064392;157705113,8;433821903,8;58963,12;1529226,53;8309227,63;5295043,89;73412931,4;1010753,72;1103681,01;176970,72;62456069,44;6704243,67;2441803,28;698722838;52872667,51;227830,28;;3550608250,81;;
"Snap""""";3652992,34;53004,32;6929,44;195318,69;136795,35;6414016,36;690062,11;3696302,78;514,52;21613,35;73094,6;65490,35;452352,54;79265,14;5013,56;38320,08;702342,46;1105001,06;18639,5;3263736,47;297621,33;10875,58;;20979301,93;;
"Snoo""""";34393099,75;577740,12;72228,22;23962264,88;228937601,4;58588735,02;6529081,69;34787980,09;5595,73;178800,97;888368,63;598584,38;4219841,12;1998330,86;68148,41;127701732,6;6174658,6;9007491,06;187186,84;29775668,74;2654369,12;77834,97;;571385343,22;;
"SpaFish""""";310180449,7;3308407,64;269585,95;4400880,98;3248944,03;75909493,9;2496945,81;517761610,6;429,24;1334657,14;7063230,29;7306905,52;23912825,05;159463,02;466248,07;7912,88;63520258;1813425,7;1323781,73;102784,53;5526788,06;292175,64;;1030407203,53;;
"ToFish""""";516607,82;25944,99;1681,14;269167,09;2399533,29;1527881,84;292452,32;130806,04;680,73;5983,58;12632,49;11322,32;85685,07;16171,5;4660,96;1351615,36;62135,53;66552,36;8807,16;876526,91;66380,44;1726,49;;7734955,42;;
"WhMull""""";8293,19;621,75;65,53;84,49;148,82;3126,49;1732,08;16721,22;13,44;594,11;472,28;664,68;1077,63;146,41;73,5;124,29;5360,28;16796,78;266,26;429,24;903,81;226,91;;57943,19;;
"Zoopl""""";286114576,9;178062578,9;1905245,54;2125356,52;23025844,21;35158001,77;4579012,79;85590490,18;1041,73;16291585,07;13571385,67;1476036,9;178166800;1210465256;136795,35;7642726,61;9383918,61;21560535135;9361180,25;22742608,23;27572647,63;5598911,01;;23679507135,08;;
