TI3;"TranOrc""""";"SealLion""""";"Dolph""""";"LingCod""""";"Ahake""""";"ARCoho""""";"ARChin""""";"DemFish""""";"Spela""""";"Eula""""";"Aherr""""";"PredInv""""";"GrazInv""""";"Jhake""""";"JRCoho""""";"JRChin""""";"ShellFish""""";"Hal""""";"CarnZoopl""""";"DogFish""""";"Jherr""""";"HerbZoopl""""";"Bird""""";"Jelly""""";"Phyto""""";"Grass""""";;SUM
"TranOrc""""";0,02;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,1
"SealLion""""";0,38;0,06;0,03;0,05;0,06;0,06;0,06;0,05;0,05;0,05;0,05;0,03;0,06;0,06;0,06;0,06;0,06;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,02;0,04;;1,5
"Dolph""""";0,01;0,02;0,03;0,05;0,05;0,05;0,05;0,04;0,05;0,04;0,04;0,06;0,05;0,02;0,03;0,02;0,02;0,03;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,02;;0,83
"LingCod""""";0,04;0,06;0,07;0,04;0,06;0,06;0,04;0,05;0,06;0,05;0,05;0,07;0,03;0,07;0,07;0,04;0,03;0,04;0,05;0,06;0,05;0,05;0,03;0,03;0,03;0,02;;1,24
"Ahake""""";0,04;0,05;0,06;0,05;0,04;0,03;0,03;0,05;0,05;0,05;0,05;0,03;0,05;0,06;0,03;0,03;0,03;0,03;0,05;0,05;0,05;0,05;0,03;0,03;0,03;0,02;;1,07
"ARCoho""""";0,04;0,05;0,06;0,05;0,03;0,04;0,03;0,04;0,05;0,05;0,05;0,03;0,03;0,03;0,06;0,06;0,02;0,03;0,05;0,06;0,05;0,05;0,03;0,03;0,02;0,01;;1,06
"ARChin""""";0,04;0,05;0,06;0,03;0,03;0,03;0,04;0,04;0,05;0,05;0,05;0,03;0,02;0,06;0,05;0,06;0,02;0,03;0,05;0,03;0,05;0,05;0,03;0,03;0,02;0,01;;0,98
"DemFish""""";0,04;0,06;0,08;0,06;0,07;0,06;0,07;0,05;0,07;0,07;0,06;0,08;0,07;0,07;0,04;0,04;0,07;0,12;0,06;0,07;0,04;0,06;0,08;0,09;0,05;0,05;;1,7
"Spela""""";0,04;0,06;0,07;0,06;0,06;0,06;0,06;0,05;0,04;0,04;0,06;0,03;0,06;0,07;0,03;0,03;0,03;0,12;0,05;0,03;0,05;0,05;0,07;0,03;0,03;0,03;;1,29
"Eula""""";0,03;0,05;0,06;0,05;0,06;0,06;0,06;0,05;0,04;0,04;0,05;0,03;0,03;0,04;0,03;0,03;0,03;0,03;0,05;0,06;0,06;0,06;0,07;0,1;0,08;0,02;;1,27
"Aherr""""";0,04;0,06;0,07;0,06;0,07;0,07;0,07;0,06;0,07;0,06;0,05;0,04;0,04;0,07;0,07;0,07;0,03;0,12;0,06;0,07;0,06;0,06;0,07;0,04;0,03;0,02;;1,53
"PredInv""""";0,01;0,02;0,05;0,04;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,04;0,05;0,01;0,05;0,05;0,05;0,01;0,02;0,05;0,02;0,02;0,02;0,01;0,02;0,04;;0,71
"GrazInv""""";0,04;0,05;0,06;0,02;0,05;0,02;0,02;0,04;0,04;0,02;0,02;0,08;0,05;0,02;0,05;0,06;0,08;0,02;0,02;0,03;0,03;0,03;0,07;0,02;0,07;0,22;;1,24
"Jhake""""";0,03;0,05;0,03;0,05;0,05;0,03;0,05;0,04;0,05;0,03;0,04;0,02;0,02;0,03;0,03;0,03;0,02;0,03;0,04;0,05;0,04;0,04;0,02;0,02;0,02;0,01;;0,88
"JRCoho""""";0,03;0,05;0,03;0,05;0,03;0,05;0,05;0,02;0,02;0,02;0,04;0,07;0,05;0,03;0,03;0,03;0,03;0,02;0,04;0,05;0,04;0,04;0,02;0,02;0,02;0,02;;0,92
"JRChin""""";0,03;0,05;0,02;0,02;0,02;0,05;0,05;0,02;0,02;0,02;0,04;0,06;0,05;0,02;0,03;0,03;0,03;0,02;0,04;0,05;0,04;0,04;0,02;0,02;0,02;0,02;;0,85
"ShellFish""""";0,03;0,04;0,02;0,02;0,02;0,02;0,02;0,04;0,02;0,02;0,02;0,07;0,07;0,02;0,02;0,03;0,05;0,01;0,02;0,05;0,04;0,04;0,07;0,03;0,07;0,22;;1,05
"Hal""""";0;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0;;0,31
"CarnZoopl""""";0,02;0,04;0,04;0,06;0,06;0,06;0,07;0,06;0,06;0,06;0,06;0,03;0,03;0,07;0,07;0,07;0,03;0,12;0,05;0,07;0,06;0,06;0,04;0,1;0,08;0,01;;1,46
"DogFish""""";0,02;0,03;0,03;0,05;0,05;0,05;0,03;0,04;0,02;0,05;0,04;0,07;0,03;0,05;0,06;0,06;0,06;0,03;0,05;0,04;0,03;0,03;0,02;0,02;0,02;0,03;;1,01
"Jherr""""";0,02;0,03;0,03;0,05;0,06;0,06;0,06;0,04;0,06;0,06;0,05;0,03;0,03;0,06;0,06;0,06;0,06;0,03;0,06;0,04;0,05;0,06;0,07;0,1;0,09;0,03;;1,37
"HerbZoopl""""";0,02;0,04;0,04;0,06;0,06;0,06;0,07;0,05;0,06;0,06;0,06;0,03;0,04;0,07;0,06;0,07;0,07;0,04;0,06;0,04;0,07;0,05;0,08;0,1;0,09;0,03;;1,45
"Bird""""";0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,04;0,04;0,04;0,03;0,02;0,05;0,02;0,02;0,02;0,06;0,02;0,02;0,02;0,04;0,04;0,03;0,03;0,07;0,04;;0,77
"Jelly""""";0;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,03;0,01;0,04;0,04;0,02;0,03;0,06;0,01;;0,49
"Phyto""""";0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,02;0,02;0,04;0,01;0,02;0,05;0,01;0,02;0,02;0,06;0,01;0,04;0,01;0,04;0,04;0,06;0,08;0,04;0,04;;0,72
"Grass""""";0;0,01;0;0;0;0;0;0,01;0;0;0;0,01;0,04;0;0;0;0,04;0;0;0;0;0;0,01;0;0,01;0,03;;0,21
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"TranOrc""""";"SealLion""""";"Dolph""""";"LingCod""""";"Ahake""""";"ARCoho""""";"ARChin""""";"DemFish""""";"Spela""""";"Eula""""";"Aherr""""";"PredInv""""";"GrazInv""""";"Jhake""""";"JRCoho""""";"JRChin""""";"ShellFish""""";"Hal""""";"CarnZoopl""""";"DogFish""""";"Jherr""""";"HerbZoopl""""";"Bird""""";"Jelly""""";"Phyto""""";"Grass""""";;SUM
"TranOrc""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SealLion""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Dolph""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"LingCod""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Ahake""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ARCoho""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ARChin""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DemFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Spela""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Eula""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Aherr""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PredInv""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"GrazInv""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jhake""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"JRCoho""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"JRChin""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ShellFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Hal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"CarnZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DogFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jherr""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"HerbZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jelly""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Grass""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"TranOrc""""";"SealLion""""";"Dolph""""";"LingCod""""";"Ahake""""";"ARCoho""""";"ARChin""""";"DemFish""""";"Spela""""";"Eula""""";"Aherr""""";"PredInv""""";"GrazInv""""";"Jhake""""";"JRCoho""""";"JRChin""""";"ShellFish""""";"Hal""""";"CarnZoopl""""";"DogFish""""";"Jherr""""";"HerbZoopl""""";"Bird""""";"Jelly""""";"Phyto""""";"Grass""""";;SUM
"TranOrc""""";2,38;2106,18;173,86;2912,7;1629,17;66,3;122,78;1701,79;2842,39;1450,99;497,6;6932,38;16971,04;3340,73;32,43;35,18;5082,4;6,43;44810,46;4653,7;393,41;20821,94;247,11;386,04;28503,16;362,02;;146084,57
"SealLion""""";29486,49;475875,36;193186,8;3619924,16;155592515,9;1381395,35;3912173,87;39782417,93;156103315,2;66519384,7;131581054,5;96204093,97;9511369083;62559080,63;29765539,86;44702903,2;3733702272;19437,95;528958898;51170361,1;89427017,38;10071904918;3146645,93;954235188;24147926879;118080947,7;;50002363997
"Dolph""""";1738,56;137990,57;54878,58;544799,96;14027612,1;114663,75;319998,82;8214552,69;14099152,29;58185519,97;10706157,02;48368156,87;1,00617E+11;5212182,04;2448865,41;3803452,08;34504164517;2063,96;1874063501;5121946,44;108704400,3;98822692119;1425584,47;1229017057;4305572556;38966869,42;;2,41673E+11
"LingCod""""";43690,56;3878490,17;817199,94;16960886,11;431542973,1;4689440,51;11890042,2;145036802,2;610348370;618172576;660802507,5;505648099,8;6,38928E+11;404024887,2;97726848,6;157519236,2;2,21629E+11;75271,65;14606261330;142844440;1100222056;6,30488E+11;15443231,76;12809008549;1,45482E+11;432400244,1;;1,6693E+12
"Ahake""""";21179,19;144478764,8;18235895,73;374003910;2188197915;55204499,42;83669227,95;1451933479;10070077760;14909206742;14995508617;3656765306;1,77223E+13;11212158972;1111648593;2209069262;6,14582E+12;1169665,76;4,10592E+11;668935537,8;28894347133;1,74242E+13;181796965,9;3,53949E+11;3,43591E+12;1603066660;;4,55866E+13
"ARCoho""""";861,93;1282724,25;149062,87;4064181,77;55204499,42;815423,66;1734214,44;18326014,65;124946776,4;130938944,5;163722252,7;40120657,92;1,25593E+11;113355259;16946105,51;29660182,17;43768312896;14577,52;3154988558;18079511,8;243954406,6;1,23843E+11;1723874,78;2968557370;34511092476;22319801,81;;3,34826E+11
"ARChin""""";1473,36;3353291,89;383998,59;9512033,76;77233133,5;1600813,33;2486127,57;32505384,75;306380596,5;195586013,2;447815415,2;24884021,34;57560085087;329796226,6;35005309,18;67348798,09;22014462809;28901,57;3520140000;20689314,09;382954699,3;57205670006;2380995,32;5091174657;98637433081;15479426,15;;2,45984E+11
"DemFish""""";32333,95;53990424,33;15607650,11;183713282,8;2122056623;26784175,26;51466859,18;1812776256;4956148699;17344462395;6222402541;9637852095;2,83191E+13;4412320610;595566982,7;1119735415;9,73287E+12;502605,04;5,51816E+11;699565472,9;33118004915;2,78107E+13;337755400,7;3,85825E+11;1,90554E+12;7826545794;;6,87964E+13
"Spela""""";42635,79;167253552;21148728,44;610348370;11619320492;144169357,4;382975745,6;3912748973;16261685798;39900083475;17907150906;15599036536;6,02179E+13;10897804361;2729338135;4329371083;2,06826E+13;2698838,6;1,19059E+12;4339473027;73506312397;5,92558E+13;507756100,7;8,39662E+11;3,54258E+12;7032595574;;1,45939E+14
"Eula""""";21764,8;71270769,32;87278279,95;618172576;17202930857;151083397,5;244482516,6;13692996627;39900083475;31700796625;48064142212;83221071477;2,62986E+13;34297716739;4161967768;7777987702;9,33754E+12;1403142,38;7,311E+11;3054086309;62143410613;2,59145E+13;2565411322;7,72773E+11;1,77833E+13;96326202294;;8,12831E+13
"Aherr""""";8956,83;169175641,5;19271082,64;792963009;20763011931;226692349,9;671723122,8;5894907671;21488581087;57676970655;19466317219;24858580931;9,0017E+13;9575557058;4234731169;6215235390;3,08649E+13;4052504,86;1,73007E+12;7858163850;1,04295E+11;8,86226E+13;736935106,4;1,16575E+12;3,24574E+12;11070563759;;2,15942E+14
"PredInv""""";55459,04;54973767,98;38694525,5;269678986,6;2250317111;24689635,64;16589347,56;4058042987;8319486153;44384571454;11048258192;21953578359;7,67159E+13;8314001785;757730881,6;1702229214;2,63504E+13;327712,34;1,46608E+12;475500591,5;85461948466;7,52904E+13;869370955,3;9,97753E+11;4,13867E+12;20689295346;;1,8517E+14
"GrazInv""""";203652,44;8152602071;1,20741E+11;5,11142E+11;1,6359E+13;1,15932E+11;57560085087;1,78858E+13;4,81743E+13;2,10389E+13;6,00113E+13;1,15074E+14;8,84607E+13;4,45934E+13;4,1354E+12;8,44226E+12;4,93342E+14;128934805,1;3,20317E+14;1,04397E+12;4,50278E+13;1,1829E+14;3,54456E+12;6,13603E+14;2,45691E+16;1,41006E+14;;2,67303E+16
"Jhake""""";36748,06;49153563,36;5733400,25;296284917,3;9487211437;95915988,36;302313207,7;2554501406;7991723198;25151658942;5851729313;11431752455;4,08773E+13;1983738325;1777269812;2478224739;1,39992E+13;1674225,96;7,67462E+11;3634330113;45130629557;4,02424E+13;325341385,3;4,97784E+11;7,7555E+11;5191445557;;9,72833E+13
"JRCoho""""";356,71;23387209,89;2693751,95;71666355,64;940625732,3;14339012,36;32088200,09;344801937,3;2001514633;3052109696;2587891270;1041879962;3,79078E+12;1777269812;279053121,9;483746370,9;1,30957E+12;276081,42;83300700152;326271016,5;5698396508;3,73321E+12;38910860,6;67447186067;5,48037E+11;475738239,2;;9,55153E+12
"JRChin""""";351,81;31930645,14;3803452,08;105012824,2;1699284048;22815524,75;56123998,41;589334428,8;2886247388;5185325135;3452908550;2127786518;7,03522E+12;2252931581;439769428,1;727587541,2;2,4231E+12;431202,17;1,46595E+11;610893477;9580151994;6,92708E+12;70857120,85;1,11194E+11;7,18661E+11;1062963317;;1,73928E+13
"ShellFish""""";50824,02;2666930195;34504164517;1,47753E+11;4,72755E+12;33667932997;18345385674;5,12256E+12;1,37884E+13;6,22503E+12;1,71472E+13;3,2938E+13;4,11118E+14;1,27265E+13;1,19052E+12;2,4231E+12;2,72829E+14;47668266,77;9,85135E+13;3,22041E+11;1,32529E+13;4,1328E+14;1,0143E+12;1,79561E+14;7,01332E+15;4,028E+13;;8,54002E+15
"Hal""""";25,74;5553,7;825,58;20072,44;359897,16;4485,39;9633,86;105811,59;719690,29;374171,3;900556,64;163856,17;42978268,36;608809,44;100393,24;172480,87;19067306,71;70,28;5127618,59;110493,73;670625,41;44245898,21;8101,61;8701801,1;190541699,1;201167,84;;315199314,3
"CarnZoopl""""";761777,81;642307233,3;3185907952;16553762840;5,36928E+11;4125754268;4986865000;4,9373E+11;1,34933E+12;8,2858E+11;1,63395E+12;3,11541E+12;4,53782E+14;1,18608E+12;1,28737E+11;2,49211E+11;1,67473E+14;21792379,01;1,68298E+13;69540431216;1,67488E+12;4,47569E+14;95663583906;2,15207E+13;6,48432E+14;3,71985E+12;;1,77072E+15
"DogFish""""";55844,42;43860309,52;6146335,73;114275552;617478958;16688780,12;20689314,09;441830825;3471578421;2443269047;5238775900;713250887,3;1,04397E+12;3964723760;355932018;733072172,4;3,86449E+11;331481,2;49087363212;118119734,3;4888833810;1,03072E+12;46960890;65108710725;1,24519E+12;869254531,7;;3,84463E+12
"Jherr""""";6294,56;102202305,6;173927040,5;1173570193;35562273395;300251577,3;510606265,7;27888846244;78406733224;66286304654;92706980423;1,70924E+11;6,0037E+13;65644552083;8288576739;15328243190;2,12046E+13;2682501,65;1,57636E+12;6518445081;1,29243E+11;5,9142E+13;5253244417;1,59222E+12;3,50147E+13;1,97105E+11;;1,79468E+14
"HerbZoopl""""";353973,06;12230170258;1,67999E+11;7,14554E+11;2,27855E+13;1,61948E+11;81041365842;2,48833E+13;6,71566E+13;2,93698E+13;8,36992E+13;1,59992E+14;1,67577E+14;6,21928E+13;5,7695E+12;1,1776E+13;7,02575E+14;188045067,4;4,47569E+14;1,46019E+12;6,28383E+13;2,08433E+14;4,92938E+12;8,56253E+14;3,42179E+16;1,96055E+14;;3,73343E+16
"Bird""""";2223,95;2022843,81;1283026,02;9265939,06;125859437,9;1193451,77;1785746,49;159989400,4;304653660,4;1539246793;368467553,2;978042324,7;2,65842E+12;266188406,2;31836158,67;63771408,76;9,12867E+11;18228,62;50645426774;35220667,5;2954949985;2,60967E+12;33819583,19;34268392813;1,47582E+11;868607628,4;;6,42119E+12
"Jelly""""";2316,25;408957937,7;737410234,3;5123603420;1,63361E+11;1370103402;2545587329;1,21839E+11;3,35865E+11;3,09109E+11;3,88583E+11;7,48315E+11;3,06802E+14;2,71518E+11;36789374219;66716455714;1,07736E+14;13052701,65;7,59555E+12;32554355362;5,97083E+11;3,02207E+14;22845595209;7,26151E+12;1,47295E+14;8,50763E+11;;8,82853E+14
"Phyto""""";228025,27;13798815359;3444458045;77590408215;2,11441E+12;21237595370;65758288721;8,02334E+11;1,88938E+12;9,48442E+12;1,44255E+12;4,13867E+12;1,63794E+16;5,64037E+11;3,98572E+11;5,74929E+11;5,61066E+15;381083398,1;3,05145E+14;8,30125E+11;1,75074E+13;1,61025E+16;1,31184E+11;1,96394E+14;2,9665E+14;2,23375E+12;;3,89331E+16
"Grass""""";724,05;16868706,81;7793373,88;57653365,88;246625639,9;3433815,66;2579904,36;823846925,7;937679409,8;12843493639;1230062640;5172323837;2,35011E+13;943899192,1;86497861,67;212592663,4;8,05599E+12;100583,92;4,37629E+11;144875755,3;24638088042;2,30653E+13;193023917,4;2,83588E+11;5,58438E+11;3485623904;;5,5953E+13
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WO3;"TranOrc""""";"SealLion""""";"Dolph""""";"LingCod""""";"Ahake""""";"ARCoho""""";"ARChin""""";"DemFish""""";"Spela""""";"Eula""""";"Aherr""""";"PredInv""""";"GrazInv""""";"Jhake""""";"JRCoho""""";"JRChin""""";"ShellFish""""";"Hal""""";"CarnZoopl""""";"DogFish""""";"Jherr""""";"HerbZoopl""""";"Bird""""";"Jelly""""";"Phyto""""";"Grass""""";;SUM
"Ahake""""";0;0;0;0,04;0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,08;0,08;0,1;0;0,1;0,08;0,1;0,1;0,06;0,1;0,1;0,1;;1,67
"Aherr""""";0;0;0;0,04;0,1;0;0;0,1;0,12;0,12;0;0,12;0,12;0,12;0,08;0,08;0,12;0;0,12;0,08;0,12;0,12;0,06;0,12;0,12;0,1;;1,88
"ARChin""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ARCoho""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bird""""";0;0;0;0,04;0,06;0;0;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0;0,06;0,06;0,06;0,06;0;0,06;0,06;0,06;;1,08
"CarnZoopl""""";0;0;0;0,04;0,1;0;0;0,1;0,12;0,12;0,12;0,12;0,29;0,12;0,08;0,08;0,29;0;0;0,08;0,12;0,29;0,06;0,19;0,29;0,1;;2,65
"DemFish""""";0;0;0;0,04;0,1;0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,08;0,08;0,1;0;0,1;0,08;0,1;0,1;0,06;0,1;0,1;0,1;;1,67
"DogFish""""";0;0;0;0,04;0,08;0;0;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0;0,08;0;0,08;0,08;0,06;0,08;0,08;0,08;;1,4
"Dolph""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Eula""""";0;0;0;0,04;0,1;0;0;0,1;0,12;0;0,12;0,12;0,12;0,12;0,08;0,08;0,12;0;0,12;0,08;0,12;0,12;0,06;0,12;0,12;0,1;;1,88
"Grass""""";0;0;0;0,04;0,1;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,08;0,08;0,1;0;0,1;0,08;0,1;0,1;0,06;0,1;0,1;0;;1,67
"GrazInv""""";0;0;0;0,04;0,1;0;0;0,1;0,12;0,12;0,12;0,12;0;0,12;0,08;0,08;0,35;0;0,29;0,08;0,12;0,38;0,06;0,19;0,35;0,1;;2,87
"Hal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"HerbZoopl""""";0;0;0;0,04;0,1;0;0;0,1;0,12;0,12;0,12;0,12;0,38;0,12;0,08;0,08;0,35;0;0,29;0,08;0,12;0;0,06;0,19;0,35;0,1;;2,87
"Jelly""""";0;0;0;0,04;0,1;0;0;0,1;0,12;0,12;0,12;0,12;0,19;0,12;0,08;0,08;0,19;0;0,19;0,08;0,12;0,19;0,06;0;0,19;0,1;;2,27
"Jhake""""";0;0;0;0,04;0,1;0;0;0,1;0,12;0,12;0,12;0,12;0,12;0;0,08;0,08;0,12;0;0,12;0,08;0,12;0,12;0,06;0,12;0,12;0,1;;1,88
"Jherr""""";0;0;0;0,04;0,1;0;0;0,1;0,12;0,12;0,12;0,12;0,12;0,12;0,08;0,08;0,12;0;0,12;0,08;0;0,12;0,06;0,12;0,12;0,1;;1,88
"JRChin""""";0;0;0;0,04;0,08;0;0;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0;0,08;0;0,08;0,08;0,08;0,08;0,06;0,08;0,08;0,08;;1,4
"JRCoho""""";0;0;0;0,04;0,08;0;0;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0;0,08;0,08;0;0,08;0,08;0,08;0,08;0,06;0,08;0,08;0,08;;1,4
"LingCod""""";0;0;0;0;0,04;0;0;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;;0,73
"Phyto""""";0;0;0;0,04;0,1;0;0;0,1;0,12;0,12;0,12;0,12;0,35;0,12;0,08;0,08;0,33;0;0,29;0,08;0,12;0,35;0,06;0,19;0;0,1;;2,81
"PredInv""""";0;0;0;0,04;0,1;0;0;0,1;0,12;0,12;0,12;0;0,12;0,12;0,08;0,08;0,12;0;0,12;0,08;0,12;0,12;0,06;0,12;0,12;0,1;;1,88
"SealLion""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ShellFish""""";0;0;0;0,04;0,1;0;0;0,1;0,12;0,12;0,12;0,12;0,35;0,12;0,08;0,08;0;0;0,29;0,08;0,12;0,35;0,06;0,19;0,33;0,1;;2,81
"Spela""""";0;0;0;0,04;0,1;0;0;0,1;0;0,12;0,12;0,12;0,12;0,12;0,08;0,08;0,12;0;0,12;0,08;0,12;0,12;0,06;0,12;0,12;0,1;;1,88
"TranOrc""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
