"TI3";""Copep"";""Mollu"";""Oogli"";""Mojar"";""Ofish"";""Phyto"";""BenthProd"";""Worm"";""MicroCrus"";""Deca"";""Ochry"";""Lrhom"";""Hjagu"";""Arhom"";""CatFish"";""Hplum"";""Bchry"";""Aquad"";;SUM
""Copep"";"0,05";"0,05";"0,07";"0,05";"0,05";"0,11";"0,05";"0,02";"0,02";"0,02";"0,02";"0,03";"0,02";"0,02";"0,03";"0,02";"0,02";"0,02";;"0,69"
""Mollu"";"0,12";"0,07";"0,11";"0,09";"0,09";"0,15";"0,09";"0,06";"0,07";"0,08";"0,11";"0,10";"0,10";"0,12";"0,09";"0,11";"0,10";"0,11";;"1,77"
""Oogli"";"0,09";"0,05";"0,04";"0,03";"0,05";"0,04";"0,06";"0,03";"0,05";"0,05";"0,03";"0,03";"0,03";"0,03";"0,06";"0,03";"0,03";"0,03";;"0,74"
""Mojar"";"0,09";"0,06";"0,05";"0,05";"0,06";"0,04";"0,07";"0,06";"0,06";"0,06";"0,04";"0,04";"0,08";"0,04";"0,08";"0,04";"0,08";"0,04";;"1,07"
""Ofish"";"0,11";"0,08";"0,10";"0,09";"0,06";"0,06";"0,06";"0,08";"0,08";"0,08";"0,11";"0,09";"0,10";"0,05";"0,09";"0,11";"0,10";"0,11";;"1,57"
""Phyto"";"0,07";"0,04";"0,02";"0,02";"0,02";"0,04";"0,02";"0,01";"0,04";"0,01";"0,01";"0,06";"0,01";"0,02";"0,01";"0,01";"0,02";"0,01";;"0,45"
""BenthProd"";"0,10";"0,07";"0,09";"0,08";"0,05";"0,05";"0,06";"0,08";"0,05";"0,05";"0,10";"0,08";"0,09";"0,11";"0,08";"0,10";"0,04";"0,10";;"1,40"
""Worm"";"0,04";"0,05";"0,05";"0,08";"0,08";"0,04";"0,08";"0,06";"0,08";"0,08";"0,11";"0,09";"0,09";"0,12";"0,09";"0,11";"0,10";"0,11";;"1,46"
""MicroCrus"";"0,06";"0,06";"0,10";"0,09";"0,08";"0,13";"0,06";"0,09";"0,07";"0,08";"0,11";"0,10";"0,09";"0,12";"0,09";"0,11";"0,10";"0,11";;"1,63"
""Deca"";"0,05";"0,08";"0,10";"0,09";"0,08";"0,05";"0,06";"0,09";"0,08";"0,06";"0,11";"0,09";"0,10";"0,12";"0,09";"0,11";"0,10";"0,11";;"1,58"
""Ochry"";"0,02";"0,04";"0,03";"0,02";"0,05";"0,02";"0,05";"0,05";"0,05";"0,05";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";;"0,60"
""Lrhom"";"0,04";"0,05";"0,03";"0,03";"0,05";"0,12";"0,05";"0,06";"0,06";"0,05";"0,04";"0,05";"0,03";"0,04";"0,03";"0,04";"0,08";"0,04";;"0,88"
""Hjagu"";"0,03";"0,05";"0,04";"0,07";"0,05";"0,03";"0,06";"0,06";"0,05";"0,06";"0,04";"0,03";"0,04";"0,04";"0,07";"0,04";"0,04";"0,04";;"0,81"
""Arhom"";"0,02";"0,04";"0,02";"0,02";"0,02";"0,02";"0,05";"0,04";"0,04";"0,04";"0,03";"0,02";"0,02";"0,03";"0,02";"0,03";"0,02";"0,03";;"0,50"
""CatFish"";"0,04";"0,06";"0,08";"0,07";"0,06";"0,03";"0,06";"0,06";"0,06";"0,06";"0,04";"0,03";"0,08";"0,04";"0,05";"0,04";"0,04";"0,04";;"0,93"
""Hplum"";"0,02";"0,04";"0,03";"0,02";"0,05";"0,02";"0,05";"0,05";"0,05";"0,05";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";;"0,60"
""Bchry"";"0,03";"0,05";"0,03";"0,06";"0,05";"0,03";"0,03";"0,05";"0,05";"0,05";"0,03";"0,07";"0,03";"0,03";"0,03";"0,03";"0,04";"0,03";;"0,72"
""Aquad"";"0,02";"0,04";"0,03";"0,02";"0,05";"0,02";"0,05";"0,05";"0,05";"0,05";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";;"0,60"


"WI3";""Copep"";""Mollu"";""Oogli"";""Mojar"";""Ofish"";""Phyto"";""BenthProd"";""Worm"";""MicroCrus"";""Deca"";""Ochry"";""Lrhom"";""Hjagu"";""Arhom"";""CatFish"";""Hplum"";""Bchry"";""Aquad"";;SUM
""Copep"";"971488109875,04";"1748611667306,11";"207260442673,83";"14114212456,62";"471164875896,59";"40895484271015,40";"982591768403,24";"238196947983,24";"57610134913,88";"104742690482,80";"164053058369,29";"47025016923,01";"36936293418,45";"26546681363,97";"1366017060,27";"17253108910,63";"3280737453,07";"4237085933,89";;"45991963120439,30"
""Mollu"";"4371529168265,28";"971297397212,86";"61409051173,77";"4171339483,83";"145819655478,69";"11943683431248,60";"330525446150,87";"72924075410,21";"478797318873,98";"41046501018,99";"52297620641,99";"18402860632,13";"12091941138,18";"9669023889,57";"598864131,58";"6102637468,77";"1111894376,23";"1768420426,87";;"18523246647022,40"
""Oogli"";"241803849786,14";"28657557214,43";"192956308,62";"25530480,25";"1122536886,97";"27896527884,13";"6495553046,02";"431335123,31";"30700707916,38";"1008150942,45";"658177371,71";"369595801,65";"344931206,98";"130568845,38";"54256858,07";"263340267,26";"23630857,29";"52380232,76";;"340231587029,82"
""Mojar"";"23523687427,70";"2780892989,22";"36472114,65";"2227949,62";"55741101,12";"860991129,97";"317600639,30";"103915496,39";"2856038976,56";"54183909,41";"52545340,50";"28272725,76";"28170031,38";"12875431,63";"3305889,04";"17035081,39";"1952309,64";"3361534,60";;"30739270077,87"
""Ofish"";"1099384710425,38";"136098345113,45";"2245073773,93";"78037541,56";"2717194419,93";"130646268107,20";"8298377747,03";"6912212742,55";"124241394047,24";"1841755259,40";"1456957825,47";"1305081135,39";"726366688,42";"929408452,73";"49831788,77";"325076830,93";"68697106,43";"158801622,20";;"1517483590628,01"
""Phyto"";"27263656180676,90";"3184982248332,97";"15940873076,65";"344396451,99";"37327505173,49";"957566668582,68";"137555528257,16";"55911124185,88";"3040322299807,50";"36200753103,18";"14106011067,42";"23852131735,11";"5513748325,88";"11729214197,76";"430110438,62";"2721803407,51";"744254675,70";"2367806608,71";;"34791272658105,10"
""BenthProd"";"1965183536806,49";"264420356920,70";"11135233793,18";"381120767,16";"7112895211,74";"412666584771,47";"12245156764,63";"34298087891,11";"218329919459,41";"3335562648,46";"6484911224,95";"3644992961,26";"2428079949,50";"3744654098,00";"90081709,25";"946168881,31";"205022767,52";"490207795,93";;"2947142574422,05"
""Worm"";"516093387297,02";"63200865355,51";"801050943,29";"135090145,31";"6418483260,94";"181711153604,11";"37156261882,03";"1029845923,45";"75794299378,78";"5801538393,79";"3662113468,12";"1726534262,49";"1690150559,30";"675359529,03";"284540993,35";"1382049456,41";"113491949,31";"288122705,83";;"897964339108,06"
""MicroCrus"";"134423648132,40";"446877497615,71";"61401415832,77";"3998454567,18";"124241394047,24";"10641128049326,20";"254718239369,32";"81624630100,23";"1255546989,59";"28512400795,98";"49424768685,10";"13770029401,99";"11487313800,77";"8515932321,89";"409353278,45";"5218004087,02";"979673143,99";"1257458304,04";;"11869243809799,90"
""Deca"";"244399611126,54";"38310067617,73";"2016301884,91";"75857473,17";"1841755259,40";"126702635861,12";"3891489756,54";"6247810577,93";"28512400795,98";"597143622,39";"1005657839,94";"595472263,92";"509935501,04";"678793124,92";"31468044,28";"234215005,39";"43285867,97";"95176360,65";;"455789077983,83"
""Ochry"";"164053058369,29";"20919048256,80";"564152032,89";"31527204,30";"624410496,63";"21159016601,13";"3242455612,47";"1690206216,06";"21182043722,19";"430996217,12";"594365971,91";"255380915,85";"339693320,50";"167167648,71";"39150625,43";"205261816,02";"21766591,61";"36398073,52";;"235556099692,43"
""Lrhom"";"62700022564,01";"9814859003,80";"422395201,89";"22618180,61";"745760648,79";"47704263470,21";"2429995307,50";"1062482623,07";"7868588229,71";"340269865,10";"340507887,79";"171583213,31";"155576065,70";"135687639,23";"15928592,51";"92724379,63";"12155019,72";"26400142,30";;"134061818034,89"
""Hjagu"";"49248391224,60";"6449035273,70";"394207093,70";"22536025,11";"415066679,10";"11027496651,77";"1618719966,33";"1040092651,88";"6564179314,73";"291391714,88";"452924427,34";"155576065,70";"179128973,80";"104045120,95";"17097502,53";"105281863,63";"12720144,31";"19776463,95";;"78117667157,98"
""Arhom"";"22122234469,97";"3223007963,19";"93263460,99";"6437715,82";"331931590,26";"14661517747,20";"1560272540,83";"259753665,01";"3041404400,67";"242426116,04";"139306373,92";"84804774,52";"65028200,59";"57579612,34";"10273035,75";"51848358,00";"4953940,72";"15381225,58";;"45971425191,40"
""CatFish"";"2049025590,40";"359318478,95";"69758817,52";"2975300,13";"32034721,35";"967748486,90";"67561281,94";"196989918,47";"263155679,01";"20229457,04";"58725938,15";"17919666,57";"19234690,34";"18491464,35";"1021353,29";"8820219,86";"1351712,61";"2338619,79";;"4156701396,66"
""Hplum"";"17253108910,63";"2441054987,51";"225720229,08";"10221048,83";"139318641,83";"4082705111,27";"473084440,65";"637868979,88";"2236287465,86";"100377859,45";"205261816,02";"69543284,72";"78961397,72";"62218029,60";"5880146,58";"39783672,82";"5494257,69";"9394653,75";;"28076284933,91"
""Bchry"";"3827527028,59";"518884042,24";"23630857,29";"1366616,75";"34348553,22";"1302445682,47";"119596614,38";"61111049,63";"489836571,99";"21642933,99";"25394356,88";"10635642,26";"11130126,27";"6935517,01";"1051332,03";"6409967,30";"895666,61";"1400197,57";;"6464242756,47"
""Aquad"";"4237085933,89";"707368170,75";"44897342,37";"2016920,76";"68057838,09";"3551709913,07";"245103897,96";"132979710,38";"538910701,73";"40789868,85";"36398073,52";"19800106,73";"14832347,96";"18457470,70";"1559079,86";"9394653,75";"1200169,35";"3426677,06";;"9673988876,77"

